glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
Glycoproteins	unaltered level	Glycoproteins		Glycoproteins								Animals	Cattle	Cattle	19241032	Comparing the LC/MS-MS analysis of a native glycoprotein tryptic digest to that of a deglycosylated tryptic digest can be accomplished through a routine LC/MS instrument.
N-linked sugars	decreased level	Membrane cofactor protein (MCP; CD46)	CD46	CD46 protein, human|Mcp protein, mouse	N-glycosidases			diagnostic	infertility			Humans|Mice	spermatozoa|testis	Spermatozoa|Testis	12112588	On human spermatozoa, MCP is expressed on the inner acrosomal membrane and alterations of spermatozoa MCP may be associated with infertility.
monosialylated alpha-fetoprotein	increased level	alpha-fetoprotein		alpha-Fetoproteins	sialyltransferase		Sialyltransferases	diagnostic	hepatocellular carcinoma	Carcinoma, Hepatocellular		Humans	serum	Humans	12089170	At concentrations <500 microg/L, serum alpha-fetoprotein (AFP) has low specificity in the diagnosis of hepatocellular carcinoma (HCC), but monosialylated AFP (msAFP) is more specific for HCC.
	unaltered level	CD2		CD2 Antigens								Humans|Cricetinae|Cricetulus	T-Lymphocytes|CHO Cells	T-Lymphocytes|CHO Cells	8097313	Expression of soluble recombinant glycoproteins with predefined glycosylation: application to the crystallization of the T-cell glycoprotein CD2.
asparagine-linked carbohydrate structures	unaltered level	carcinoembryonic antigen	CEA	Carcinoembryonic Antigen				diagnostic|prognostic	tumorigenesis	Carcinoma		Humans	CHO Cells	CHO Cells	10626907	Carbohydrates do not determine the adhesion property of CEA or its specificity, in spite of the unusually high degree of glycosylation; they do, however, modulate the strength of adhesion.
glycosylation	altered level	interferon gamma receptors		Receptors, Interferon								Escherichia coli|CHO Cells|Mice|Humans	recombinant proteins	CHO Cells	8672294	The eukaryotic proteins showed heterogeneity because of the unequal cleavage of the signal peptide and because of differences in glycosylation.
O-linked oligosaccharides with the core-2 structure	increased level	CD8 glycoprotein	CD8	CD8 Antigens	glycosyltransferases		Glycosyltransferases	diagnostic				Rats	rat epithelial cells	Cell Line	1460019	The biosynthesis of human CD8 glycoprotein in transfected rat epithelial cells produces an unglycosylated precursor, an intermediate species only initially O-glycosylated, and a doublet mature form carrying neutral and sialylated O-linked oligosaccharides with the core-2 structure.
N-linked glycosylation	unaltered level	CD4	CD4	CD4 Antigens	peptide: N-glycosidase F			diagnostic|monitoring	HIV			Cricetulus	Chinese hamster ovary cells	Cricetinae	2318210	CD4 also acts as the receptor for the human immunodeficiency virus (HIV) by binding to the viral glycoprotein gp120.
Siaα2,6Galβ1,4GlcNAc	increased level	ST6GAL1	ST6GAL1	ST6GAL1 protein, human				diagnostic|prognostic	colorectal cancer	Colonic Neoplasms		Humans	Cell Line, Tumor	Cell Line, Tumor	31317190	The structure Siaα2,6Galβ1,4GlcNAc (Sia6LacNAc), synthesized by sialyltransferase ST6GAL1, is a cancer-associated glycan.
core 2-type O-glycans	altered level	MUC1	MUC1	MUC1 protein, human|Mucin-1				diagnostic|prognostic	Neoplasms	Neoplasms		Humans	human epithelial cell surface mucins	Humans	23259747	This study provides evidence of site-specific structural alteration induced during multiple sialylation at Ser/Thr residues of the tandem repeats in human MUC1 glycoprotein.
fucose-α(1-2)-galactose	increased level	glycoproteins		Biomarkers|Disaccharides|Enzymes|Molecular Probes|Polysaccharides|fucosyl-1-2-galactose				diagnostic|monitoring|prognostic	inflammation|asthma|tumorigenesis	Biomarkers|Disaccharides|Enzymes|Molecular Probes|Polysaccharides		live cells	malignant and normal cells		22339094	This approach represents a new potential strategy for biomarker detection and expands the technologies available for understanding the roles of this important class of carbohydrates in physiology and disease.
α-galactose	increased level	human antibody constant regions		Glycoproteins	N-glycosyltransferase		Glycosyltransferases	diagnostic			protein vaccine candidate	Escherichia coli	cell-free system	Escherichia coli	31776339	We use selected pathways to synthesize a protein vaccine candidate with an α-galactose adjuvant motif in a one-pot cell-free system.
N-linked glycan	decreased level	alpha-fetoprotein	AFP	AFP protein|alpha-Fetoproteins				diagnostic|response	autoimmune diseases|cancer			Saccharomyces cerevisiae	Cell Line, Tumor	Cell Line, Tumor	22561245	Elimination of the glycosylation by mutation reduced rhAFP(0) secretion about threefold as compared to the wild-type protein showing critical role of the N-linked glycan for heterologous protein folding and secretion.
N-linked sugar moiety	unaltered level	alpha-fetoprotein	AFP	AFP protein|alpha-Fetoproteins				diagnostic|response	autoimmune diseases|cancer			Saccharomyces cerevisiae	Cell Line, Tumor	Cell Line, Tumor	22561245	However the presence of N-linked sugar moiety was shown to be unimportant for tumor suppressive activity but was critically important for its immunoregulative activity.
anthocyanins	increased level	PAP1 protein, Arabidopsis	PAP1	Anthocyanins|Arabidopsis Proteins|PAP1 protein, Arabidopsis				diagnostic|monitoring	Pancreatitis	Pancreatitis-Associated Proteins		Arabidopsis thaliana	rosette leaves	Arabidopsis	20309578	The combined growth conditions of high light and either medium-2 or medium-1 induced the most molecular diversity of anthocyanin structures in rosette leaves of pap1-D plants.
glycan-free forms	unaltered level	CD58	CD58	CD58 Antigens								Escherichia coli	adhesion domain	Escherichia coli	10357807	A general strategy is presented here for producing glycan-free forms of glycoproteins without loss of function by employing apolar-to-polar mutations of surface residues in functionally irrelevant epitopes.
sialyl-Lewis x	increased level	SabA	SabA	SabA protein, Helicobacter pylori	beta3GnT5	beta3GnT5	N-Acetylglucosaminyltransferases	diagnostic|prognostic	gastric cancer	Stomach Neoplasms		Humans	human gastric carcinoma cell line	Cell Line, Tumor	18483624	Chronic Helicobacter pylori infection is recognized as a cause of gastric cancer.
O-glycan chains	altered level	Tk polyagglutination antigen		Antigens, Tumor-Associated, Carbohydrate	O-Sialoglycoprotein endopeptidase			diagnostic|predictive|response	colorectal carcinoma	Colorectal Neoplasms	immunotherapy	Humans|Rats	human colorectal carcinomas|cloned human carcinoma cells|normal tissues|murine cellular cell lines	Colorectal Neoplasms|Erythrocytes	11034094	Tk polyagglutination antigen is a new colorectal carcinoma-associated antigen, absent from the normal cell surface, resulting from alteration of O-glycans biosynthesis and with potential as a target of immunotherapy.
N-glycans	increased level	albumin	ALB	Glycoproteins				diagnostic|prognostic	Diabetic kidney disease	Diabetic Nephropathies		Humans	urine	Humans	35934376	A total of 237 N-glycan compositions were identified from urine samples with DKD and healthy controls, which representing the largest data set of N-glycome from DKD.
N-glycans	decreased level	albumin	ALB	Glycoproteins				diagnostic|prognostic	Diabetic kidney disease	Diabetic Nephropathies		Humans	urine	Humans	35934376	Compared to healthy controls, 3 N-glycans were up-regulated and 14 N-glycans were down-regulated in DKD patients.
sialoglycoprotein gp114	unaltered level	gp114	CEACAM	CEACAM								Dogs	MDCK cells	Dogs	16533391	We have identified the sialoglycoprotein gp114 as a dog homologue of the carcinoembryonic antigen-related cell adhesion molecule (CEACAM) family.
p58 basolateral marker glycoprotein	unaltered level	p58	ATP1B1	Sodium-Potassium-Exchanging ATPase								Dogs	MDCK cells	Dogs	16533391	The p58 basolateral marker glycoprotein was found to be the beta subunit of (Na+)(K+)-ATPase.
glycosylphosphatidylinositol (GPI) anchor	decreased level	GPI-anchored proteins		Glycosylphosphatidylinositols	dolichyl-phosphate beta-D-mannosyltransferase		Mannosyltransferases	diagnostic|monitoring|response	T-cell activation	Lymphocyte Activation		Yeast	T-cell hybridoma	Hybridomas	1835975	These results thus reveal an unexpected role of N-linked glycosylation in T-cell activation.
O- and N-linked complex carbohydrates	loss of structure	CD45	CD45	Leukocyte Common Antigens	N-glycanases|O-glycanase|neuraminidase			diagnostic|monitoring			tunicamycin	Humans	K-562 erythroleukemic cell line	Humans	1702721	Treatment of immunoprecipitated CD45 glycoproteins with distinct exo- and endoglycosidases revealed the presence of highly sialylated O- and N-linked complex carbohydrates in the composition of mature CD45 glycoproteins.
N-linked glycosylation	decreased level	ecto-apyrase	HB6	Apyrase|CD39 antigen				diagnostic				Humans	COS Cells	COS Cells	9931016	PNGase-F caused a decrease in the apparent molecular weight of the protein (consistent with glycan removal) and a decrease in enzymatic activity over time.
anti-glycan antibodies	increased level	IgM		Antibodies				diagnostic	ovarian cancer	Ovarian Neoplasms		Humans	human serum	Humans	29343722	We demonstrate the utility of this platform by the analyses of natural anti-glycan IgM and IgG antibodies in 961 human serum samples and the discovery of anti-glycan antibody biomarkers for ovarian cancer.
oligosaccharide chains	increased level	alpha 1-protease inhibitor	SERPINA1	alpha 1-Antitrypsin				diagnostic|monitoring	Carcinoma, Hepatocellular	Carcinoma, Hepatocellular		Humans	Cell Line	Cell Line	2470133	Undefined monocyte-derived cytokines have previously been shown to affect glycan processing in glycoproteins secreted by human hepatoma cell lines.
oligosaccharide chains	decreased level	alpha-fetoprotein	AFP	alpha-Fetoproteins				diagnostic|monitoring	Carcinoma, Hepatocellular	Carcinoma, Hepatocellular		Humans	Cell Line	Cell Line	2470133	The difference in response of these two transformed cell lines to this cytokine undoubtedly reflects differences in their intracellular glycan processing mechanisms.
oligosaccharide chains	decreased level	ceruloplasmin	CP	Ceruloplasmin				diagnostic|monitoring	Carcinoma, Hepatocellular	Carcinoma, Hepatocellular		Humans	Cell Line	Cell Line	2470133	This cytokine caused increased synthesis of alpha 1-protease inhibitor and ceruloplasmin, and decreased synthesis of alpha-fetoprotein in both cell lines.
Glycogen	decreased level	Insulin receptor substrate 1	IRS1	ERN1 protein, human|Ern1 protein, mouse				diagnostic|monitoring|predictive|prognostic|response|risk|safety	Insulin Resistance	Insulin Resistance		Mice|Humans	Muscle Cells|Myoblasts	Muscle Cells|Myoblasts	22006247	These data show that insulin resistance induced by palmitate is not related to ER stress in muscle cells.
sulfated glycan (Galβ1-3[SO3-GlcNAcβ1-6]GalNAc)	increased level	mucins		Polysaccharides				diagnostic	low fertility	Pregnancy		Sheep	cervical mucus	Cervix Mucus	34379775	There was a higher abundance of the sulfated glycan (Galβ1-3[SO3-GlcNAcβ1-6]GalNAc) in the low-fertility Suffolk breed compared with NWS (high fertility).
fucosylated glycan (GlcNAcβ1-3(Fucα1-2Galβ1-3)GalNAc)	increased level	mucins		Polysaccharides				diagnostic	low fertility	Pregnancy		Sheep	cervical mucus	Cervix Mucus	34379775	There was a higher abundance of the fucosylated glycan (GlcNAcβ1-3(Fucα1-2Galβ1-3)GalNAc) in the low-fertility Suffolk breed compared with NWS (high fertility).
core 4 glycan (GlcNAcβ1-3[GlcNAcβ1-6]GalNAc)	increased level	mucins		Polysaccharides				diagnostic	low fertility	Pregnancy		Sheep	cervical mucus	Cervix Mucus	34379775	There was a higher abundance of the core 4 glycan (GlcNAcβ1-3[GlcNAcβ1-6]GalNAc) in the low-fertility Suffolk breed compared with NWS (high fertility).
advanced glycation end products (AGEs)	decreased level	Dipeptidyl Peptidase 4	DPP4	Dipeptidyl Peptidase 4|Dipeptidyl-Peptidase IV Inhibitors				response|risk	Diabetes Mellitus, Type 2	Diabetes Mellitus, Type 2	gemigliptin (100 mg/kg/day)	Mice	type 2 diabetic db/db mice	Mice	25448307	Elevated serum levels of AGEs in db/db mice were suppressed by the administration of gemigliptin.
α2-6 sialylation	decreased level	ST6GAL1	ST6GAL1	ST6GAL1 protein, human	ST6GAL1	ST6GAL1	Sialyltransferases	prognostic|response	Chronic Obstructive Pulmonary Disease	Pulmonary Disease, Chronic Obstructive		Humans	human bronchial epithelial cells	Epithelial Cells	34290711	Altogether, these results suggest that reduced ST6GAL1 and α2-6 sialylation augments IL-6 expression/secretion in HBECs and is associated with poor clinical outcomes in COPD.
sialylation	decreased level	IgG-Fc		Immunoglobulin G				diagnostic|monitoring	chronic inflammatory demyelinating polyneuropathy	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	intravenous immunoglobulin (IVIG)	Humans	serum		25814494	Sialylation of IgG-Fc is reduced in CIDP.
agalactosylation	increased level	IgG-Fc		Immunoglobulin G				diagnostic|monitoring	chronic inflammatory demyelinating polyneuropathy	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	intravenous immunoglobulin (IVIG)	Humans	serum		25814494	agalactosylation was increased in CIDP.
sialylated/agalactosylated ratio	decreased ratio	IgG-Fc		Immunoglobulin G				diagnostic|monitoring	chronic inflammatory demyelinating polyneuropathy	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	intravenous immunoglobulin (IVIG)	Humans	serum		25814494	Ratios of sialylated/agalactosylated IgG-Fc levels were significantly reduced in CIDP.
sialylation	increased level	IgG-Fc		Immunoglobulin G				monitoring	chronic inflammatory demyelinating polyneuropathy	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	intravenous immunoglobulin (IVIG)	Humans	serum		25814494	After IVIG treatment, levels of sialylated IgG-Fc significantly increased.
advanced glycation endproducts (AGEs)	decreased level	plasma protein		Albumin				monitoring	type 2 diabetes	Diabetes Mellitus, Type 2	Irbesartan treatment	Humans	plasma	Albuminuria	21384133	Treatment with Irbesartan decreased urinary excretion of advanced glycation endproducts (AGEs)--methylglyoxal- and glyoxal-derived hydroimidazolones, MG-H1 and G-H1.
Nε-fructosyl-lysine	increased level	plasma protein		Albumin				monitoring	type 2 diabetes	Diabetes Mellitus, Type 2	Irbesartan treatment	Humans	plasma	Albuminuria	21384133	In plasma protein, treatment with Irbesartan increased content of glycation adducts Nε-fructosyl-lysine.
Nε-carboxymethyl-lysine	increased level	plasma protein		Albumin				monitoring	type 2 diabetes	Diabetes Mellitus, Type 2	Irbesartan treatment	Humans	plasma	Albuminuria	21384133	In plasma protein, treatment with Irbesartan increased content of glycation adducts Nε-carboxymethyl-lysine.
Nε-carboxyethyl-lysine	increased level	plasma protein		Albumin				monitoring	type 2 diabetes	Diabetes Mellitus, Type 2	Irbesartan treatment	Humans	plasma	Albuminuria	21384133	In plasma protein, treatment with Irbesartan increased content of glycation adducts Nε-carboxyethyl-lysine.
pentosidine	increased level	plasma protein		Albumin				monitoring	type 2 diabetes	Diabetes Mellitus, Type 2	Irbesartan treatment	Humans	plasma	Albuminuria	21384133	In plasma protein, treatment with Irbesartan increased content of glycation adducts pentosidine.
Tn antigen	increased level	MUC6	MUC6	MUC6 protein, human|Mucin-6	ppGalNAc-Ts			diagnostic|prognostic	Breast Neoplasms	Breast Neoplasms		Humans	MCF-7 breast cancer cell line	Cell Line, Tumor	16140958	These results indicate that non-mammary apomucin expression could be responsible, at least in part, for Tn antigen expression in MCF-7 breast cancer cells due to a combined action on glycosyltransferases: an increase of ppGalNAc-T activity and a decrease of core 1 beta3Gal-T activity.
siglec-7 ligands	increased level	siglec-7	SIGLEC7	SIGLEC7 protein, human	neuraminidase		Neuraminidase	diagnostic|monitoring	acute lymphoblastic leukemia	Precursor Cell Lymphoblastic Leukemia-Lymphoma		Humans	B-Lymphocyte Subsets	B-Lymphocyte Subsets	22585296	While pediatric T-ALL blasts highly expressed siglec-7 ligands, siglec-7 ligands were barely detectable on cALL blasts.
Tn	increased level	polypeptide N-acetylgalactosamine-transferases	GalNAc-Ts	Tn antigen|Antigens, Tumor-Associated, Carbohydrate				diagnostic|prognostic	malignant breast tumors	Neoplasms		Humans|Mice	cancer cell lines|malignant breast tumors	Cell Line|Neoplasms	23912186	Here we show that Golgi-to-endoplasmic reticulum relocation of polypeptide N-acetylgalactosamine-transferases (GalNAc-Ts) drives high Tn levels in cancer cell lines and in 70% of malignant breast tumors.
N-glycan	increased level	endolyn		Endolyn|Membrane Glycoproteins				diagnostic				Dogs|Mice|Rabbits	MDCK cells	Cell Line|Cells, Cultured	11707397	Interestingly, surface polarity of endolyn was independent of O-glycosylation processing, but was reversed by disruption of N-glycosylation using tunicamycin.
glycosylation	altered level	glycosyltransferases	GTGs	Glycosyltransferases				predictive|prognostic	breast cancer	Breast Neoplasms	immune checkpoint inhibitors	Humans	breast cancer	Breast Neoplasms	36189319	The altered expression of glycosyltransferases causes abnormal glycan biosynthesis changes, which can serve as diagnostic hallmarks in BC.
oligomannose and hybrid type glycans	increased level	CD4	CD4	CD4 Antigens								human and rat	CHO cells	CHO Cells	7904345	The presence of identical oligosaccharides at the conserved glycosylation site in domain 3 of rat and human sCD4 and the greater abundance of oligomannose and hybrid type glycans at the non-conserved glycosylation site of rat sCD4 clearly indicate that the protein structure influences oligosaccharide processing.
sulfated and α2-3- linked sialic acid glycoconjugates	increased level	Agrocybe aegerita Lectin		Lectins				prognostic	colorectal cancer	Colorectal Neoplasms		Humans	CRC tissues	Colorectal Neoplasms	25081672	Lower AAL specific glycoconjugate expression is a significant favorable prognostic factor for overall and progress free survival in CRC.
glycosyl phosphatidylinositol (GPI)	loss of structure	CD14	CD14	Antigens, CD				response	endotoxin shock	Shock, Septic	treatment of endotoxin shock	Humans	whole blood	Humans	7515917	Thus, soluble CD14 may be useful as an adjunct in the treatment of endotoxin shock.
N-glycans	unaltered level	HIV-1 Env		HIV Envelope Protein gp120				diagnostic|predictive	HIV Infections	HIV Infections		Humans	trimeric envelope glycoprotein		27617431	Variability in high-mannose and complex-type Env glycoforms leads to heterogeneity that usually precludes visualization of the native glycan shield.
Thomsen-Friedenreich antigen	increased level	desmoglein-1	DSG1	Desmoglein 1				diagnostic|response	pemphigus foliaceus	Pemphigus	subcutaneous injection of jacalin	Mice	epidermis	Epidermis	20631728	Collectively, these results suggest that the binding of jacalin to O-linked TF carbohydrate motifs on Dsg1 impairs the Dsg1/PF autoantibody interactions and abrogates its pathogenicity in vivo.
O-glycans	decreased level	CD43	SPN	Leukosialin				diagnostic|monitoring|prognostic	HIV-1	HIV-1		Humans	leukemic T cells	Cell Line	7964449	The glycosylation defect is associated with an impairment of CD43-mediated homotypic aggregation which can be restored by resialylation.
N-acetylgalactosamine residues	altered level	CD43	SPN	Leukosialin				diagnostic|monitoring|prognostic	HIV-1	HIV-1		Humans	leukemic T cells	Cell Line	7964449	Hyposialylation of O-glycans and changed substitution on N-acetylgalactosamine residues are observed.
N-glycans of MUC2	decreased level	MUC2	MUC2	MUC2 protein, human				diagnostic|monitoring|predictive|prognostic|response|risk|safety	Neoplasm	Tumor	tunicamycin treatment	Humans	colon cell line LS 174T	Tumor Cells, Cultured	9668061	This suggests that N-glycans of MUC2 are necessary for the correct folding and dimerization of the MUC2 mucin.
N-glycan sialylation	increased level	anti-HER2 IgA	ERBB2	Immunoglobulin A|ERBB2 protein, human				diagnostic|monitoring|predictive|prognostic|response|risk|safety	Breast Neoplasms	Breast Neoplasms	trastuzumab	Mice	breast cancer xenograft model	Xenograft Model Antitumor Assays	26440530	In vivo anti-tumor activity of the anti-HER2 IgA antibodies was compared to that of trastuzumab in a BT-474 breast cancer xenograft model.
high branching (HB)	increased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	High branching (HB) [W = 46328; q = 0.00072], tri-galactosylated (G3) [W = 44076; q = 0.00096], antennary fucosylated (FUC_A) [W = 43055; q = 0.0000763], and triantennary (TRIA) [W = 44624; q = 0.0025], N-glycan structures were increased in T2DM.
tri-galactosylated (G3)	increased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	High branching (HB) [W = 46328; q = 0.00072], tri-galactosylated (G3) [W = 44076; q = 0.00096], antennary fucosylated (FUC_A) [W = 43055; q = 0.0000763], and triantennary (TRIA) [W = 44624; q = 0.0025], N-glycan structures were increased in T2DM.
antennary fucosylated (FUC_A)	increased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	High branching (HB) [W = 46328; q = 0.00072], tri-galactosylated (G3) [W = 44076; q = 0.00096], antennary fucosylated (FUC_A) [W = 43055; q = 0.0000763], and triantennary (TRIA) [W = 44624; q = 0.0025], N-glycan structures were increased in T2DM.
triantennary (TRIA)	increased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	High branching (HB) [W = 46328; q = 0.00072], tri-galactosylated (G3) [W = 44076; q = 0.00096], antennary fucosylated (FUC_A) [W = 43055; q = 0.0000763], and triantennary (TRIA) [W = 44624; q = 0.0025], N-glycan structures were increased in T2DM.
low branching (LB)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
non-sialylated (S0)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
monogalactosylation (G1)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
core fucosylation (FUC_C)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
biantennary galactosylation (A2G)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
biantennary (BA)	decreased level							diagnostic|prognostic	type II diabetes mellitus	Diabetes Mellitus, Type 2		Humans	blood plasma	Blood	30365935	low branching (LB) [W = 46328; q = 0.00072], non-sialylated (S0) [W = 46929; q = 0.00292], monogalactosylation (G1) [W = 44091; q = 0.0000763], core fucosylation (FUC_C), [W = 46497; q = 0.00096], biantennary galactosylation (A2G) [W = 45663; q = 0.000763], and biantennary (BA) [W = 46376; q = 0.00072], structures were decreased compared to controls.
agalactosyl and monogalactosyl bi-antennary glycans	increased level	Immunoglobulin G		Immunoglobulin G				diagnostic	autoimmune pancreatitis	Autoimmune pancreatitis (AIP)		Humans	serum	Humans	26723536	We demonstrated, for the first time, whole-serum glycan profiles of AIP patients and showed that the levels of glycans #3410, #3510, and #4510 were increased in AIP patients.
glycans #3410, #3510, and #4510	increased level	Immunoglobulin G		Immunoglobulin G				diagnostic	autoimmune pancreatitis	Autoimmune pancreatitis (AIP)		Humans	serum	Humans	26723536	Among the 14 glycans, #3410, #3510, and #4510 showed high area under receiver operating characteristic (AUROC) values (0.955, 0.964, and 0.968 respectively) for the diagnosis of AIP.
hyperglycosylated Wisteria floribunda agglutinin-positive Mac-2 binding protein (WFA(+)-M2BP)	increased level	WFA(+)-M2BP		wisteria lectin				diagnostic	liver fibrosis	Liver Cirrhosis		Humans	serum		24603981	Serum WFA(+)-M2BP values were evaluated in 200 patients with chronic liver disease who underwent histological examination of liver fibrosis.
hybrid type glycans	increased level							diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum	Humans	35064597	Serum levels of hybrid type glycans were increased in patients with CRC compared with those with CRA (P < 0.001).
m/z 1708/1914	increased ratio							diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum	Humans	35064597	High m/z 1708/1914 was also correlated with an advanced cancer stage and short overall survival.
m/z 1914	decreased level							diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum	Humans	35064597	The glycan, m/z 1914, showed the highest diagnostic value among the decreased glycans.
high mannose type N-glycans	increased level							diagnostic|prognostic	lung adenocarcinoma	Adenocarcinoma of Lung		Humans	formalin-fixed paraffin-embedded (FFPE) tissue sections	Paraffin Embedding	29157724	We show that high mannose type N-glycans are upregulated, while sialylated N-glycans are downregulated in our FFPE lung adenocarcinoma samples, compared to the control samples.
sialylated N-glycans	decreased level							diagnostic|prognostic	lung adenocarcinoma	Adenocarcinoma of Lung		Humans	formalin-fixed paraffin-embedded (FFPE) tissue sections	Paraffin Embedding	29157724	We show that high mannose type N-glycans are upregulated, while sialylated N-glycans are downregulated in our FFPE lung adenocarcinoma samples, compared to the control samples.
sialylated O-linked glycan	increased level	HEG1	HEG1	HEG1 protein, human				diagnostic|prognostic|response	malignant mesothelioma	Mesothelioma, Malignant	function-inhibition drugs	Humans	Tumor	Cell Line, Tumor	28361969	Here, we show that a novel mucin-like membrane protein, sialylated protein HEG homolog 1 (HEG1), is a highly specific marker for MM.
N-glycan of high mannose and/or hybrid type	unaltered level	FKRP	FKRP	FKRP protein, human				diagnostic	Limb-Girdle Muscular Dystrophy type 2I (LGMD2I)			Humans	human skeletal muscle sections	Muscle Fibers, Skeletal	21886772	These four disorders share in common an incomplete/aberrant O-glycosylation of the membrane/extracellular matrix (ECM) protein α-dystroglycan.
O-glycosylation	increased level	α-dystroglycan						diagnostic	Congenital Muscular Dystrophy (MDC1C)			Humans	human skeletal muscle sections	Muscle Fibers, Skeletal	21886772	These four disorders share in common an incomplete/aberrant O-glycosylation of the membrane/extracellular matrix (ECM) protein α-dystroglycan.
O-glycosylation	increased level	α-dystroglycan						diagnostic	Walker-Warburg Syndrome (WWS)			Humans	human skeletal muscle sections	Muscle Fibers, Skeletal	21886772	These four disorders share in common an incomplete/aberrant O-glycosylation of the membrane/extracellular matrix (ECM) protein α-dystroglycan.
O-glycosylation	increased level	α-dystroglycan						diagnostic	Muscle Eye Brain disease (MEB)			Humans	human skeletal muscle sections	Muscle Fibers, Skeletal	21886772	These four disorders share in common an incomplete/aberrant O-glycosylation of the membrane/extracellular matrix (ECM) protein α-dystroglycan.
fucosylated glycan	increased level	Fetuin-A		alpha-2-HS-Glycoprotein				diagnostic	cholangiocarcinoma	Cholangiocarcinoma		Humans	serum		28561948	Using a glycomic method, patients with CCA were determined to have increased levels of alpha-1,3 and alpha-1,6 linked fucosylated glycan.
bisecting-GlcNAc	increased level	ERC/mesothelin		Mesothelin				diagnostic|prognostic	epithelioid mesothelioma	Mesothelioma, Malignant		Humans	epithelioid mesothelioma cells	Epithelioid Cells	33792699	Lectin microarray analysis of ERC/mesothelin using cells and patient specimens showed significantly stronger binding of PHA-E4 lectin, which recognizes complex-type N-glycans having a so-called bisecting-GlcNAc structure, to ERC/mesothelin from epithelioid mesothelioma cells than that from normal mesothelial cells.
type 1-(Galβ-3GlcNAc)-terminating backbone sequence	unaltered level	FC10.2		TRA-1-60 antigen, human|TRA-1-81 antigen, human				diagnostic				Humans	Embryonic Stem Cells	Cells, Cultured	31308253	Glycan antigens recognized by monoclonal antibodies have served as stem cell markers.
