glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
glycoform	altered level	prostate specific antigen		Prostate-Specific Antigen				diagnostic	prostate cancer	Prostatic Neoplasms		Humans		Humans	36651292	Proof of concept is demonstrated using prostate specific antigen: a biomarker for prostate cancer, where glycoform analysis could distinguish between cancerous and non-cancerous status, rather than only detecting overall protein concentration.
N-glycosyltransferase STT3A	decreased level				N-glycosyltransferase STT3A	STT3A	Glycosyltransferases	prognostic|predictive	breast cancer	Breast Neoplasms	immune checkpoint inhibitors	Humans	breast cancer cells	Breast Neoplasms	35444644	The clinical sample validation verified that glycosyltransferase genes were differentially expressed in patients in the low- and high-risk groups, while the biomarkers of antitumor M1 macrophages were increased and N-glycosyltransferase STT3A decreased in the low-risk group.
C-glycosyl amino acids	acquisition of structure	MUC1-glycopeptide		Mucin-1				diagnostic	tumor		O-glycopeptide vaccines	Humans		Humans	23553723	The resulting C-glycopeptides are candidates for the development of long-term stable mimics of O-glycopeptide vaccines.
T(N) antigen	undetermined								Tumor	Antigens, Tumor-Associated, Carbohydrate					15854597	T(N) antigen building blocks Nalpha-(9-fluorenylmethoxycarbonyl)-O-(3,4,6-tri-O-acetyl-2-azido-2-deoxy-alpha-D-galactopyranosyl)-L-serine/L-threonine pentafluorophenyl ester [Fmoc-L-Ser/L-Thr(Ac3-alpha-D-GalN3)-OPfp, 13/14] have been synthesized by two different routes, which have been compared.
Tn-antigenic structures	undetermined	glycophorin AN		Glycophorins								human			9129295	Two highly glycosylated O-glycopeptides corresponding to human glycophorin AN with Tn-antigenic structures were synthesised.
N-linked oligosaccharides	altered level	Thy-1		Thy-1 Antigens								rat	brain	Brain Chemistry	16364349	It was demonstrated that Thy-1 possesses a significant variety of N-linked oligosaccharides, including Lewis a/x, Lewis b/y, and disialylated structure as a partial structure.
poly-N-acetyllactosamine	acquisition of structure								squamous cell carcinomas of the head and neck	Carcinoma, Squamous Cell|Head and Neck Neoplasms		Humans	malignant cells		9279558	Reactivity with GSA-II staining following endo-beta-galactosidase digestion, which recognizes linear poly-N-acetyllactosamine structures, was found in a few malignant cells from 21 individuals.
A antigen	loss of structure								squamous cell carcinomas of the head and neck	Carcinoma, Squamous Cell|Head and Neck Neoplasms		Humans	carcinoma cells		9279558	However, in squamous cell carcinoma, A antigen was not detected in eight out of 25 individuals of blood groups A and AB, although B antigen was consistently expressed in carcinoma cells from all the B and AB individuals.
IgA O-glycosylation	altered level	Immunoglobulin A		Immunoglobulin A				diagnostic	Crohn's disease	Crohn Disease		Humans	plasma		37641533	Differences of IgA O- and N-glycosylation (including galactosylation, bisection, sialylation, and antennarity) between patient groups were associated with the diseases, and these findings led to the construction of a statistical model to predict the disease group of the patients without the need of invasive procedures.
IgA N-glycosylation	altered level	Immunoglobulin A		Immunoglobulin A				diagnostic	Crohn's disease	Crohn Disease		Humans	plasma		37641533	Differences of IgA O- and N-glycosylation (including galactosylation, bisection, sialylation, and antennarity) between patient groups were associated with the diseases, and these findings led to the construction of a statistical model to predict the disease group of the patients without the need of invasive procedures.
IgA O-glycosylation	altered level	Immunoglobulin A		Immunoglobulin A				diagnostic	ulcerative colitis	Colitis, Ulcerative		Humans	plasma		37641533	Differences of IgA O- and N-glycosylation (including galactosylation, bisection, sialylation, and antennarity) between patient groups were associated with the diseases, and these findings led to the construction of a statistical model to predict the disease group of the patients without the need of invasive procedures.
IgA N-glycosylation	altered level	Immunoglobulin A		Immunoglobulin A				diagnostic	ulcerative colitis	Colitis, Ulcerative		Humans	plasma		37641533	Differences of IgA O- and N-glycosylation (including galactosylation, bisection, sialylation, and antennarity) between patient groups were associated with the diseases, and these findings led to the construction of a statistical model to predict the disease group of the patients without the need of invasive procedures.
CD19	increased level	CD19		Antigens, CD19	Signal peptide peptidase-like 3			response	B cell malignancies		CAR T cell therapy	Humans	B cells	B-Lymphocytes	35690611	Loss of SPPL3 results in hyperglycosylation of CD19, an alteration that directly inhibits CAR T cell effector function and suppresses anti-tumor cytotoxicity.
CD19	loss of structure	CD19		Antigens, CD19	Signal peptide peptidase-like 3			response	B cell malignancies		CAR T cell therapy	Humans	B cells	B-Lymphocytes	35690611	Alternatively, over-expression of SPPL3 drives loss of CD19 protein, also enabling resistance.
N-glycans	altered level	h-lamp-1|h-lamp-2		Lysosomal Membrane Proteins|Lysosomal Membrane Proteins								Humans	lysosome	Lysosomes	3198605	The major portions of both h-lamp-1 and h-lamp-2 reside on the luminal side of the lysosome and are heavily glycosylated by N-glycans: h-lamp-1 and h-lamp-2 were found to contain 19 and 16 potential N-glycosylation sites, respectively.
mannose type glycans	altered level							diagnostic|monitoring	melanoma	Melanoma		Humans	melanocytes	Melanocytes	27591901	In our study we have compared the recognition of mannose type glycans in melanocytes (HEMa-LP) and melanoma cells originating from the radial growth phase (WM35) and from lung metastasis (A375-P).
mannose type glycans	altered level							diagnostic|monitoring	melanoma	Melanoma		Humans	melanoma cells		27591901	In our study we have compared the recognition of mannose type glycans in melanocytes (HEMa-LP) and melanoma cells originating from the radial growth phase (WM35) and from lung metastasis (A375-P).
mannose and glucose types of oligosaccharides	altered level							diagnostic|monitoring	melanoma	Melanoma		Humans	melanoma cells		27591901	The Con A - mannose (or glucose) type glycans present on WM35 cell surface are rather short and less ramified while in A375-P cells, Con A binds to long, branched mannose and glucose types of oligosaccharides.
N-glycans	loss of structure	MUC16		MUC16 protein, human	N-acetylglucosaminyltransferase I	MGAT1			reduction in glycocalyx barrier function		tunicamycin and siRNA-mediated knockdown	human	corneal epithelial cells	Epithelial Cells	28487369	In N-glycosylation inhibition experiments, we find that treatment with tunicamycin and siRNA-mediated knockdown of the Golgi N-acetylglucosaminyltransferase I gene (MGAT1) induce partial loss of both total and cell-surface levels of the largest mucin, MUC16, and a concomitant reduction in glycocalyx barrier function.
core 2 oligosaccharide Galβ3(Galβ3/4GlcNAcβ6)GalNAc-ol	acquisition of structure	MUC1		Mucin-1					prostate cancer	Prostatic Neoplasms		human	prostate cancer cell line C4-2B(4)	Tumor Cells, Cultured	20872286	We found that the main O-glycan consisted of the neutral core 2 oligosaccharide Galβ3(Galβ3/4GlcNAcβ6)GalNAc-ol, with minor components being fucosylated and sialylated variants of the same core 2 oligosaccharide.
core 1 O-glycans	acquisition of structure	MUC1		Mucin-1					prostate cancer	Prostatic Neoplasms		human	prostate cancer cell line C4-2B(4)	Tumor Cells, Cultured	20872286	Small amounts of the shorter core 1 O-glycans were also detected.
glycosylated haemoglobin	undetermined								gestational diabetes	Diabetes, Gestational		Humans	serum		7955983	The clinical usefulness of glycosylated haemoglobin and serum proteins in the management of gestational diabetes.
glycosylated serum proteins	undetermined								gestational diabetes	Diabetes, Gestational		Humans	serum		7955983	The clinical usefulness of glycosylated haemoglobin and serum proteins in the management of gestational diabetes.
glycated hemoglobin	altered level	hemoglobin		hemoglobin A1c protein, human				diagnostic	type 2 diabetes	Diabetes Mellitus, Type 2		human	blood	Humans	32615722	Discordances between glycated hemoglobin (HbA1c) levels and glycemic control are common in clinical practice.
glycated albumin	altered level	albumin						diagnostic	type 2 diabetes	Diabetes Mellitus, Type 2		human	blood	Humans	32615722	HbA1c, glycated albumin (GA), and fasting blood glucose levels were simultaneously measured and 72-hour continuous glucose monitoring (CGM) was performed on the same day.
glycoforms	unaltered level	NEP2(Delta)										Humans	ER and plasma membrane	Cell Membrane	18539150	Human NEP2 exists as a membrane-bound and soluble enzyme, whereas human NEP2(Delta) exists as two membrane-bound glycoforms, localised to the ER and plasma membrane.
N-glycan	altered level				Endo-M		Acetylglucosaminidase					Mucor hiemalis			19880511	"Interestingly, the N175Q mutant was found to possess dramatically enhanced glycosynthase-like activity with sugar oxazoline in comparison with N175A and a transglycosidase-like activity with ""natural"" N-glycan as well."
O-glycosylations	undetermined	MUC1		Mucin-1											28579308	We applied this methodology to the synthesis of long MUC1 variants comprising 2, 4 and 6 tandem repeats and three O-glycosylations.
N-linked glycoproteins	altered level							diagnostic	biomarker discovery	Biomarkers		human	plasma	Humans	23322582	To assess the performance and suitability of SWATH-MS-based protein quantification for clinical use, we compared SWATH-MS and SRM-MS-based quantification of N-linked glycoproteins in human plasma, a commonly used sample for biomarker discovery.
sulfation	decreased level	MUC5B|MUC5AC		MUC5B protein, human|MUC5AC protein, human				predictive	cystic fibrosis	Cystic Fibrosis		human	sputum	Sputum	17392389	The glycosylation of these mucins also showed reduced sulfation, increased sialylation, and reduced fucosylation in CF adults compared with controls.
sialylation	increased level	MUC5B|MUC5AC		MUC5B protein, human|MUC5AC protein, human				predictive	cystic fibrosis	Cystic Fibrosis		human	sputum	Sputum	17392389	The glycosylation of these mucins also showed reduced sulfation, increased sialylation, and reduced fucosylation in CF adults compared with controls.
fucosylation	decreased level	MUC5B|MUC5AC		MUC5B protein, human|MUC5AC protein, human				predictive	cystic fibrosis	Cystic Fibrosis		human	sputum	Sputum	17392389	The glycosylation of these mucins also showed reduced sulfation, increased sialylation, and reduced fucosylation in CF adults compared with controls.
glycosylated ferritin	decreased level	ferritin		Ferritins				diagnostic	adult onset Still's disease	Still's Disease, Adult-Onset		Humans	serum		10784516	The percentage of glycosylated ferritin is low both in the active phase and in remission.
MUC1	altered level	MUC1		Mucin-1				diagnostic	ovarian cancer	Ovarian Neoplasms		Humans	tumor cells	Tumor Cells, Cultured	7591241	In this study the biosynthesis, secretion and glycosylation of MUC1 were studied in primary cultures of tumour cells obtained from 35 patients with stage 3 ovarian cancer.
MUC1	altered level	MUC1		Mucin-1				response	ovarian cancer	Ovarian Neoplasms		Humans	tumor cells	Tumor Cells, Cultured	7591241	Culture of tumour cells for 4 days in the presence or absence of a competitive inhibitor of O-glycosylation, BAG, showed that the degree of glycosylation of MUC1 varied between tumours and that under-glycosylation was not correlated with production or secretion rates.
Le(x)	undetermined								tumor	Antigens, Tumor-Associated, Carbohydrate					11446640	Using this strategy, a spacer containing tumor antigen Le(y)-Lac hexasaccharide was described.
Le(y)	undetermined								tumor	Antigens, Tumor-Associated, Carbohydrate					11446640	Using this strategy, a spacer containing tumor antigen Le(y)-Lac hexasaccharide was described.
sialyl-oligosaccharide	undetermined	bovine fetuin		Glycoproteins|Oligosaccharides|Sialic Acids|alpha-Fetoproteins|sialooligosaccharides|N-Acetylneuraminic Acid								Cattle		Animals|Cattle	1280005	A highly sensitive analytical procedure was developed to assess the site of glycosylation in a model glycoprotein, bovine fetuin.
glycosylated exoPD-L1	altered level	PD-L1		B7-H1 Antigen				diagnostic|predictive	cancer	Neoplasms		Humans	exosome		35810463	As a result, this method is able to distinguish the levels of glycosylated exoPD-L1 between healthy donors and cancer patients with sensitivity and specificity of 100%.
advanced glycosylation end products	altered level								chronic kidney failure	Kidney Failure, Chronic	peritoneal dialysis	Humans	peritoneal dialysis liquids	Dialysis Solutions	21285129	Moreover, 2D western blot analyses of the protein glycation pattern showed that the short-time increase in PDS glucose concentration (45-50 mM) resulted in significant alteration of the advanced glycosylation end products (AGEs) pattern.
Lewis X	undetermined			Lewis X Antigen											11133015	This paper describes the synthesis of an octasaccharidic glycolipid 1 based on a stereo- and regioselective glycosylation between a Lewis X trisaccharidic donor and a pentasaccharidic acceptor.
N-glycosylation	altered level	gp130		Cytokine Receptor gp130								Human	extracellular domain		11098061	Of the 11 potential N-glycosylation sites, Asn(21), Asn(61), Asn(109), Asn(135), Asn(205), Asn(357), Asn(361), Asn(531), and Asn(542) are glycosylated but not Asn(224) and Asn(368).
GalNAc	altered level	MUC1		Mucin-1					breast cancer			human	breast cancer cell		9363430	Beyond the methodical aspects the results revealed that in vitro glycosylation of the TAP25 peptide with a transferase system from human milk differs from that obtained with a breast cancer cell transferase system.
sialyl-Lewis(x) antigen	acquisition of structure	CD24		Antigens, CD|CD24 Antigen|CD24 protein, human					breast carcinoma	Breast Neoplasms		human	KS breast carcinoma cells	Tumor Cells, Cultured	9737727	Comparison with three other CD24+ cell lines established that expression of sialyl-Lewis(x) antigen was also necessary for CD24-mediated rolling on P-selectin.
advanced glycation end products	increased level							diagnostic	Insulin resistance	Insulin Resistance		Rats	saliva	Saliva	34557264	In IR rats, we also demonstrated significantly higher concentrations of protein/lipid oxidation (↑protein carbonyls, ↑4-hydroxynoneal (4-HNE)), glycation (↑advanced glycation end products), and nitration (↑3-nitrotyrosine) products in both saliva and blood plasma.
N-glycosylation	increased level	human chorionic gonadotropin alpha		Glycoprotein Hormones, alpha Subunit								Humans			33556683	In addition, a higher number of hCGα glycoforms (42 in total, i.e. a 40% increase) was detected.
O-glycosylation	acquisition of structure	human chorionic gonadotropin beta		Chorionic Gonadotropin, beta Subunit, Human								Humans			33556683	It led to an improvement of the separation of hCGα and hCGβ glycoforms, which allowed for the first time the detection of 33 hCGβ glycoforms at intact level.
aberrant glycosylated IgA1	altered level	Immunoglobulin A		Immunoglobulin A				diagnostic	Immunoglobulin A nephropathy	Glomerulonephritis, IGA		Humans	circulating IgA1-containing complexes		33351144	Moreover, we found α1-microglobulin was prone to bind aberrant glycosylated IgA1.
fructosamine	altered level	serum proteins		Glycoproteins|Glycated Serum Proteins				diagnostic	Type 2 diabetes	Diabetes Mellitus, Type 2		Humans	serum	Blood Proteins	2068851	The degree of nonenzymatic glycation of serum proteins was estimated in 500 nondiabetic subjects and in 124 Type 2 diabetic out-patients.
N-glycosylated carbohydrate portion of 6 kDa	unaltered level	Ki-1 antigen		Ki-1 Antigen					Hodgkin's disease	Hodgkin Disease		Humans	Epstein-Barr virus-transformed cell lines	Tumor Cells, Cultured	2545229	Hodgkin's disease-derived, Epstein-Barr virus-transformed cell lines and the acute T cell leukemia line MOLT-4 contain both forms of the Ki-1 antigen, whereas only the 57-kDa intracellular antigen is expressed in U266/B1 myeloma cells, in the Burkitt lymphoma cell lines Raji and Daudi and in acute promyelocytic HL-60 leukemia cells.
N-glycosylated carbohydrate portion of 6 kDa	unaltered level	Ki-1 antigen		Ki-1 Antigen					acute T cell leukemia			Humans	MOLT-4 cell line	Tumor Cells, Cultured	2545229	Hodgkin's disease-derived, Epstein-Barr virus-transformed cell lines and the acute T cell leukemia line MOLT-4 contain both forms of the Ki-1 antigen, whereas only the 57-kDa intracellular antigen is expressed in U266/B1 myeloma cells, in the Burkitt lymphoma cell lines Raji and Daudi and in acute promyelocytic HL-60 leukemia cells.
N-linked glycopeptides	undetermined	fetuin		Glycoproteins				diagnostic|monitoring	disease			bovine	serum	Humans	24079330	With the use of bovine fetuin as a standard glycoprotein, the incubation time was determined for each major step of glycopeptide isolation.
N-glycosylation	acquisition of structure								colorectal cancer			human	colorectal cancer tissues		19658139	Moreover, the new composite nanoparticles were applied to enrich glycosylated proteins from human colorectal cancer tissues for identification of N-glycosylation sites.
fucose	increased level	alpha-1-acid glycoprotein		Orosomucoid				prognostic	cirrhosis	Liver Cirrhosis		human	plasma		17004233	Hyperfucosylation was observed in all disease samples in comparison to normal plasma and was significantly increased in cirrhosis.
sialic acid	decreased level	alpha-1-acid glycoprotein		Orosomucoid				prognostic	fibrosis			human	plasma		17004233	Both sialic acid and N-acetylgalactosamine (GalNAc) were negatively associated with fibrosis.
N-acetylgalactosamine	decreased level	alpha-1-acid glycoprotein		Orosomucoid				prognostic	fibrosis			human	plasma		17004233	Both sialic acid and N-acetylgalactosamine (GalNAc) were negatively associated with fibrosis.
N-linked carbohydrates	undetermined	fetuin		alpha-Fetoproteins								Cattle	fetuin	alpha-Fetoproteins	7680267	The strategy is demonstrated for bovine fetuin, a 42-kDa glycoprotein containing three N-linked, and at least three O-linked carbohydrates.
O-linked carbohydrates	undetermined	fetuin		alpha-Fetoproteins								Cattle	fetuin	alpha-Fetoproteins	7680267	The strategy is demonstrated for bovine fetuin, a 42-kDa glycoprotein containing three N-linked, and at least three O-linked carbohydrates.
K13	acquisition of structure							diagnostic|prognostic	cancer of the gingivo buccal complex	Mouth Neoplasms		Humans	gingivo buccal complex	Mouth Mucosa	23876858	This report also shows that K13 is glycosylated.
mucin	undetermined	MUC1		Mucin-1				diagnostic	cancer			human	cancer cell line	Humans|Cell Line, Tumor	23770070	We demonstrated the method's feasibility by using MUC1 derived from 2 cancer cell lines, T47D and HPAF-II.
neuraminidase-sensitive glycan	altered level	CD34		Antigens, CD34					inflammatory reactions			mouse	endothelial cells	Endothelium, Vascular	9270880	We describe the production and characterization of MEC 14.7, a monoclonal antibody directed to murine endothelial cells recognizing a glycosylated protein with an apparent molecular mass of about 100 kDa in cultured endothelioma cell lysate and about 80 kDa in lung lysate.
neuraminidase-sensitive glycan	altered level	CD34		Antigens, CD34					immune responses			mouse	endothelial cells	Endothelium, Vascular	9270880	We describe the production and characterization of MEC 14.7, a monoclonal antibody directed to murine endothelial cells recognizing a glycosylated protein with an apparent molecular mass of about 100 kDa in cultured endothelioma cell lysate and about 80 kDa in lung lysate.
neuraminidase-sensitive glycan	altered level	CD34		Antigens, CD34					neoangiogenesis			mouse	endothelial cells	Endothelium, Vascular	9270880	We describe the production and characterization of MEC 14.7, a monoclonal antibody directed to murine endothelial cells recognizing a glycosylated protein with an apparent molecular mass of about 100 kDa in cultured endothelioma cell lysate and about 80 kDa in lung lysate.
GalNAcalpha1-3Gal(NAc)beta	acquisition of structure	cytokeratins		Keratins					carcinoma			human	MCF-7 cells|HeLa SS6 cells|human carcinoma cell lines|normal human mammary epithelial cell line	HeLa Cells|Epithelial Cells	9247192	The presence of GalNAc residues on highly purified cytokeratins from MCF-7 and HeLa SS6 cells was confirmed by sugar composition analyses using gas chromatography/mass spectrometry.
core 1 O-glycans	unaltered level	MUC1		Mucin-1					breast cancer	Breast Neoplasms	immunotherapy	Chinese-hamster	CHO-K1 cells	CHO Cells	12950230	A very similar O-glycan profile and site occupancy was found in MUC1-IgG produced in the breast carcinoma cell line T47D, which has O-glycosylation typical for breast cancer.
core 2 O-glycans	acquisition of structure	MUC1		Mucin-1					breast cancer	Breast Neoplasms	immunotherapy	Chinese-hamster	MCF-7 cells	Cell Line, Tumor	12950230	In contrast, MUC1-IgG produced in another breast cancer cell line, MCF-7, showed a more complex pattern with both core 1- and core 2-based O-glycans.
O-glycosylation	increased level	MUC1		Mucin-1					breast cancer	Breast Neoplasms		human	T47D breast cancer cells	Tumor Cells, Cultured	10373415	The site-specific O-glycosylation of MUC1 tandem repeat peptides from secretory mucin of T47D breast cancer cells was analyzed.
Sialylated Tn	acquisition of structure	ITGα3		Integrin alpha3				diagnostic	epithelial ovarian cancer	Carcinoma, Ovarian Epithelial|Ovarian Neoplasms		Humans	ovarian cyst fluid	Ovarian Cysts	37003518	Sialylated Tn antibody based glycovariants of ITGα3 (ITGα3STn) and CD63 (CD63STn) performed better than corresponding protein epitope-based immunoassays, ITGα3IA and CD63IA respectively.
Sialylated Tn	acquisition of structure	CD63		CD63				diagnostic	epithelial ovarian cancer	Carcinoma, Ovarian Epithelial|Ovarian Neoplasms		Humans	ovarian cyst fluid	Ovarian Cysts	37003518	Sialylated Tn antibody based glycovariants of ITGα3 (ITGα3STn) and CD63 (CD63STn) performed better than corresponding protein epitope-based immunoassays, ITGα3IA and CD63IA respectively.
N-acetylglucosamine	increased level											Eukaryotic	Proteins	Protein Conformation|Protein Engineering|Protein Folding|Protein Stability|Protein Structure, Tertiary	21292975	We show that placing a phenylalanine residue two or three positions before a glycosylated asparagine in distinct reverse turns facilitates stabilizing interactions between the aromatic side chain and the first N-acetylglucosamine of the glycan.
Tn antigen	acquisition of structure				T-synthase		Galactosyltransferases		embryonic lethality			mouse			20439703	Here we show that ablation of the X-linked Cosmc gene in mice causes embryonic lethality and Tn antigen expression.
Tn antigen	acquisition of structure				T-synthase		Galactosyltransferases		several human diseases			mouse			20439703	We generated genetically mosaic mice with a targeted Cosmc deletion and survivors exhibited abnormalities correlated with Tn antigen expression that are related to several human diseases.
core-fucosylation	altered level	IgG		Immunoglobulin G|glycosylated IgG				diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum		29698801	Moreover, IgG N-glycosylation analysis suggested that core-fucosylation, sialylation and sialo core-fucosylation were possibly related to the development of CRC.
sialylation	altered level	IgG		Immunoglobulin G|glycosylated IgG				diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum		29698801	Moreover, IgG N-glycosylation analysis suggested that core-fucosylation, sialylation and sialo core-fucosylation were possibly related to the development of CRC.
sialo core-fucosylation	altered level	IgG		Immunoglobulin G|glycosylated IgG				diagnostic|prognostic	colorectal cancer	Colorectal Neoplasms		Humans	serum		29698801	Moreover, IgG N-glycosylation analysis suggested that core-fucosylation, sialylation and sialo core-fucosylation were possibly related to the development of CRC.
sialyl Tn	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
Tn	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
T antigen	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
sialyl Lewis A	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
sialyl Lewis C	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
Lewis X	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
sialyl LeX	altered level	MUC1|MUC4		MUC1 protein, human|MUC4 protein, human				diagnostic	pancreatic adenocarcinoma	Pancreatic Neoplasms		Humans	primary tumor		23446997	We investigated the expression of a number of mucin core proteins and associated O-linked glycans expressed in pancreatic adenocarcinoma-sialyl Tn (STn), Tn, T antigen, sialyl Lewis A (CA19-9), sialyl Lewis C (SLeC), Lewis X (LeX), and sialyl LeX (SLeX)-during the progression of pancreatic cancer from early stages to metastatic disease.
Hyperglycosylated hCG	unaltered level	hCG		Chorionic Gonadotropin				diagnostic|prognostic	gestational trophoblastic diseases			Humans	cytotrophoblast cells		18720925	Hyperglycosylated hCG (H-hCG), produced by cytotrophoblast cells, is a marker for cytotrophoblast cells and tumor marker for gestational trophoblastic diseases.
beta-hCG	unaltered level	hCG		Chorionic Gonadotropin				prognostic|response	nontrophoblastic neoplasms	Neoplasms	Vaccines to beta-hCG	Humans			18720925	beta-hCG is a marker of poor prognosis shown to promote growth and invasion in vitro, suggesting autocrine growth factor properties.
SNA response	altered level	α-1-β glycoprotein		Glycoproteins				diagnostic	chronic pancreatitis			Humans	serum	Blood Proteins	21732554	The results showed that the SNA response on the captured A1BG protein could distinguish chronic pancreatitis samples from pancreatic cancer with a p-value of 0.035 and for the SAP protein with SNA, a p-value of 0.026 was found between the signal of normal controls and the pancreatic cancer samples.
SNA response	altered level	serum amyloid p component		Blood Proteins				diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	serum	Blood Proteins	21732554	The results showed that the SNA response on the captured A1BG protein could distinguish chronic pancreatitis samples from pancreatic cancer with a p-value of 0.035 and for the SAP protein with SNA, a p-value of 0.026 was found between the signal of normal controls and the pancreatic cancer samples.
ConA response	decreased level	α-1-β glycoprotein		Glycoproteins				diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	serum	Blood Proteins	21732554	For the ConA response, a decline in the signal for both proteins in the serum samples was found to distinguish pancreatic cancer from normal controls and renal cell carnoma samples (A1BG, p<0.05; and SAP, p<0.0001).
ConA response	decreased level	serum amyloid p component		Blood Proteins				diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	serum	Blood Proteins	21732554	For the ConA response, a decline in the signal for both proteins in the serum samples was found to distinguish pancreatic cancer from normal controls and renal cell carnoma samples (A1BG, p<0.05; and SAP, p<0.0001).
Oligosaccharides	increased level							diagnostic	ovarian cancer	Ovarian Neoplasms		Humans	serum		17655680	Sixteen unique OS MS signals were identified in ovarian cancer patient sera.
glycopeptides	decreased level	Immunoglobulin A|Immunoglobulin G|Immunoglobulin M		Immunoglobulin G|Immunoglobulin G|				diagnostic	epithelial ovarian cancer	Carcinoma, Ovarian Epithelial		Humans	serum		26813784	Multiple glycopeptides from immunoglubins IgA, IgG, and IgM were found to be differentially expressed in serum of EOC patients compared with controls.
glycopeptides	decreased level	Immunoglobulin G		Immunoglobulin G				diagnostic	epithelial ovarian cancer	Carcinoma, Ovarian Epithelial		Humans	serum		26813784	In particular, IgG-specific glycosylation profiles are the most powerful in discriminating between EOC case and controls.
simple/short O-glycans	increased level							prognostic	metastatic prostate cancer	Prostatic Neoplasms		Humans	PC-3 cells	PC-3 Cells	32583304	Prostate cancer (CaP) cells exhibited an elevation of simple/short O-glycans, with a reduction of complex O-glycans, increased O-glycan sialylation and decreased fucosylation.
complex O-glycans	decreased level							prognostic	metastatic prostate cancer	Prostatic Neoplasms		Humans	PC-3 cells	PC-3 Cells	32583304	Prostate cancer (CaP) cells exhibited an elevation of simple/short O-glycans, with a reduction of complex O-glycans, increased O-glycan sialylation and decreased fucosylation.
O-glycan sialylation	increased level				α2,3-sialyltransferase-I (ST3Gal-I)		beta-Galactoside alpha-2,3-Sialyltransferase	prognostic	metastatic prostate cancer	Prostatic Neoplasms		Humans	PC-3 cells	PC-3 Cells	32583304	Core 1 sialylation was increased dramatically in all CaP cells, and especially in PC-3 cells.
fucosylation	decreased level							prognostic	metastatic prostate cancer	Prostatic Neoplasms		Humans	PC-3 cells	PC-3 Cells	32583304	Prostate cancer (CaP) cells exhibited an elevation of simple/short O-glycans, with a reduction of complex O-glycans, increased O-glycan sialylation and decreased fucosylation.
