glytoucan_ac	term	synonyms	term_in_sentence	publication	definition	term_xref	function	disease_associations	wikipedia	essentials_of_glycobiology	xref_key	xref_id
G00052MO	Blood group H (Type 2) - Lewis y	Lewis y|Blood group H (type 2) (Ley)|Lewis b (Leb)|Lewis a|Lewis b (Lewis b)|Blood group H (type 2) - Lewis y|H-Ley|H-Le^y|Lewis Y|H-Ley|H-Le^y|Lewis Y	"The fucosylated histo-blood group antigens H type 2 (blood group O, CD173) and Lewis Y (CD174) are expressed on CD34+ hematopoietic progenitors but absent on mature lymphocytes.[PMID: 11479278]"	11479278	A branched amino tetrasaccharide consisting of N-acetyl-β-D-glucosamine at the reducing end having an α-L-fucosyl residue attached at the 3-position and an α-L-fucosyl-(1→2)-β-D-galactosyl moiety attached at the 4-position. A cancer-associated tetrasaccharide antigen which constitutes the core structure recognised by therapeutic antibody BR96. Conformational restriction around the GlcNAc residue is a key feature of its structure.[CHEBI:59045]	GTC:G00052MO|GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000045	The expression of the fucosylated histo-blood group antigen CD174 in CD34+ hematopoietic progenitor cells and down-regulation of FUT1 in mature lymphocytes may be important factors influencing the homing process of hematopoietic stem cells to the bone marrow.[GlycoEpitope:EP0018]	"AIDS/acquired immune deficiency syndrome[GlycoEpitope:EP0018]|cholangiocarcinoma[GlycoEpitope:EP0018]|hepatocellular carcinoma[GlycoEpitope:EP0018]|Inappropriate tissue distribution of Ley blood-group antigens was observed in CCs(cholangiocarcinomas) and, much less frequently, in HCCs(hepatocellular carcinomas).[GlycoEpitope:EP0018]|Ley determinant is highly expressed in human immunodeficiency virus (HIV)-infected T cell lines and in CD3+ peripheral mature T cells of patients with acquired immune deficiency syndrome (AIDS) or with AIDS-related complex (ARC).[GlycoEpitope:EP0018]"		Chapter 14	glycan_xref_dictionary	GSD000038
G94435QH	Blood group H (Type 3)	H type 3|H antigen (type 3)|Type 3 chain H	"One particular lambody, VLRB.aGPA.23, was shown by glycan array analysis to be selective for the blood group H type 3 trisaccharide (BG-H3, Fucα1-2Galβ1-3GalNAcα), aGPA, and TFα (Galβ1-3GalNAcα), with affinity constants of 0.2, 1, and 8 nM, respectively.[PMID:23030719]"	23030719|20466654|1563908|3944092|11218748|11101633|18842005|27550195|2469783|2433836|23118206|8445257|2664192|3063304		GlycoMotif:GGM.000010|GTC:G94435QH				Chapter 11	glycan_xref_dictionary	GSD000105
G98465JN	Blood group H (Type 4)		"In addition, the blood group H type 4 chain structure was present together with Le(a) and Le(b) compounds.[PMID:1841684]"	11261842|1841684|11101633|9405495	"An amino hexasaccharide consisting of α-L-fucose, β-D-galactose, N-acetyl-α-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues joined in sequence with (1→2)-, (1→3)-, (1→3)-, (1→4)- and (1→4)-linkages, respectively.[CHEBI:65245]"	GlycoMotif:GGM.000086|GTC:G98465JN|CID:10260428|SugarBind_Ligand:61|CHEBI:65245		Pyelonephritis[SugarBind_Ligand:61]			glycan_xref_dictionary	GSD000039
G97345NY	C2-O-sLex		"PSGL-1 lacks 6-sulfo-sLex but contains sulfated tyrosine residues (Tyr-SO3)at positions 46, 48, and 51 and sLex in a core 2-based O-glycan (C2-O-sLex) on Thr at position 57.[PMID:12736247]"	12736247|19267921|21283832|15596301|17072011	"A seven-membered branched galactosamine oligosaccharide that consists of a branched tetrasaccharide unit α-Neu5Ac-(2→3)-β-D-Gal-(1→4)-[α-L-Fuc-(1→3)]-β-D-GlcNAc, attached by a glycosidic linkage to position 6 of the GalNAc residue of the trisaccharide α-Neu5Ac-(2→3)-β-D-Gal-(1→3)-D-GalNAc.[CHEBI:65192]"	GlycoMotif:GGM.000053|GTC:G97345NY|CID:91860725|KEGG:G10899|CHEBI:155160					glycan_xref_dictionary	GSD000040
G04416BG	Ceramide dihexosyl sulfate		"Although it has been reported that ceramide dihexosyl sulfate is present in human kidney, it is unlikely that it is present in equine kidney.[PMID:818074]"	818074	"A sulfatide with two hexose moieties (glucose and galactose) has been isolated from human kidney (Martensson E, Acta Chem Scand 1963, 17, 1174). Equimolar amounts of ceramide, glucose, galactose, and sulfate are found in the molecule. The sulfate group is esterified, as in sulfatides, with carbon 3 of the galactose moiety. The linkage between galactose and glucose is identical to lactose (b-1-4). Its fatty acid composition is similar to that of sulfatides. [http://cyberlipid.gerli.com/description/complex-lipids/glycolipids/glycosphingolipids/sulfosphingolipids/]"	GTC:G04416BG|GlycoMotif:GGM.000065					glycan_xref_dictionary	GSD000041
G03277YI	cisGM1	GM1b	Macrophage ganglioside patterns dramatically increase in complexity when murine peritoneal macrophages are stimulated in vivo with the appearance of the sialidase-sensitive monosialoganglioside GM1b (cisGM1) as a major component.[PMID: 9455923]	9455923	"A member of the class of neuraminic acids that is neuraminic acid attached in sequence to β-D-galactopyranosyl, 2-acetamido-2-deoxy-β-D-galactopyranosyl, β-D-galactopyranosyl, and β-D-gucoopyranose units by (2→3), (1→3), (1→4), and (1→4) glycosidic linkages, respectively. It corresponds to the carbohydrate portion of ganglioside GM1b.[CHEBI:145580]"	GlycoMotif:GGM.000100|GTC:G03277YI|CID:91850212|CHEBI:145580|GlycoEpitope:EP0048|SugarBind_Ligand:92|KEGG:G00125		Influenza[SugarBind_Ligand:92]		Chapter 23	glycan_xref_dictionary	GSD000044
G00031MO	Core 1	C1G	"O-glycans are initiated by the addition of GalNAc to serine or threonine (via the ppGalNAcT family of glycosyltransferases), forming the Tn antigen (GalNAcα-O-Ser/Thr), which is used to generate the core 1 structure (Galβ1,3GalNAcα-O-Ser/Thr) on which most complex and branched O-glycans are derived. [PMID:31645367]"	31645367|32297877		GTC:G00031MO|GlycoMotif:GGM.001005					glycan_xref_dictionary	GSD000186
G00033MO	Core 2	core 2 O-glycans|core 2-branched O-glycans|core2 O-glycans	"To investigate the biological roles of core 2 O-glycans, we produced and characterized mice deficient in one or more of the three known glycosyltransferases that generate core 2 O-glycans (C2GnT1, C2GnT2, and C2GnT3).[PMID: 19349303]"	19349303|30315106|23640779|26677400	The trisaccharide β-D-Gal-(1→3)-[β-D-GlcNAc-(1→6)]-D-GalNAc with α configuration at the anomeric centre of the N-acetylglucosamine residue at the reducing end.[CHEBI:62158]	GTC:G00033MO|CID:52921656|CHEBI:62158					glycan_xref_dictionary	GSD000046
G00035MO	Core 3		"Mechanically, we revealed that mucin-type core 3 O-glycan was synthesized at the membrane-tethered MUC1 N terminus because of core 3 synthase expression in colon cancer cells.[PMID: 28745318]"	28745318|27259834|27143302|	An amino disaccharide comprising an N-acetyl-β-D-glucosamine residue linked (1→3) to an N-acetyl-β-D-galactosamine residue at the reducing end.[CHEBI:71344]	GTC:G00035MO|CID:25061208|CHEBI:71344				Chapter 9	glycan_xref_dictionary	GSD000047
G00037MO	Core 4		"The results confirm the predicted existence of a beta1,6GlcNAc-transferase that functions in both core 2 and core 4 O-glycan branch formation.[PMID: 9988682]"	9988682|10747980|	"A branched amino trisaccharide comprising an N -acetyl-α-D-galactosamine residue at the reducing end, to which are (1→3)- and (1→6)-linked two N -acetyl-α-D-glucosamine residues.[CHEBI:71341]"	GTC:G00037MO| CID:25229562|CHEBI:71341				Chapter 8	glycan_xref_dictionary	GSD000048
G78059CC	Core-fucosylated	Core Fuc|6-linked Fuc|Fuca6 to chitobiose core|a6-linked Fuc|a1-6 Fuc|Fuca6 to chitobiose core|Fuc a1-6 to chitobiose core|Fuca6 to internal GlcNAc|Fuc a1-6 to internal GlcNAc|core fucose|core fucosylated glycans|core-fucosylated N-glycans|core fucosylated structure|core alpha-1,6-linked fucose|core-fucosylated glycans|core-type fucosylated N-glycans	The approach was validated for selective capture and analysis of core fucosylated N-glycans present in complex glycan mixtures derived from mammalian serum IgG.[PMID:27678371]	27678371|26514868|15538974|24914453|17049014|32078267|31268672|28674882|29956878|27798819|32044029|30962950|31548313|30907281|29090617|29571940|28800497|27629418|29733746|31623829|28768188|26897254|31451706|26514868|29427759|28982386|26587313|30940702|15538974|31249452|27282921|31229844|30445455|31325506|24732908|29209018|26965517|28609658|24914453|25573275|17049014|19218400|27012207|27139574|32078267|25861849|32561391|21374780|31669139|25732060|29408166|31268672|30472795|30614075|19003000|25664929	"Modification of the N-glycan core structure with fucose moiety attached at the innermost GlcNAc by FUT8 enzyme. Core Fuc is found on paucimannose, hybrid and complex type N-glycans. [https://doi.org/10.1016/bs.acr.2014.11.006]."	GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499	"Required for signaling through TCR [PMID: 29434598]|VGF, PDGFr, and EGFr and TGFbeta receptor dysregulation in Fut8 KO mice [PMID:17132494]|IgG-Fcg receptor interactions destabilized by core Fuc [PMID:29062024]"	Emphysema|systemic lupus erythematosuslung cancer|autoimmunity|tumor metastasis		Chapter 8	glycan_xref_dictionary	GSD000049
G78059CC	Core-fucosylated biantennary	core-fucosylated diantennary	"The IFN-alpha14c N-glycans were shown to exhibit core-fucosylated biantennary glycans , with about 10% carrying an additional alpha1,3-linked fucose unit at the antennae.[PMID:9654101]"	9654101|15819890|28263871|26763099|22256781|23681398|25855029|10529240|26544759|8206921|33149259|8547276	A biantennary glycan with two GlcNAc branches linked to the core and fucosylation on the core GlcNAc.	GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499				Chapter 8	glycan_xref_dictionary	GSD000050
G78059CC	Core-fucosylated biantennary complex-type	core fucosylated diantennary complex-type	The oligosaccharide structure at Asn(32 ) is a mixture of the monosialo and asialo forms of a core fucosylated biantennary complex-type oligosaccharide.[PMID:10731668]	10731668	A biantennary complex glycan with two GlcNAc branches linked to the core and fucosylation on the core GlcNAc.	GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499					glycan_xref_dictionary	GSD000051
G11148DZ	Cyclic sialyl 6-sulfo Lewis x		Stimulation of the sialyl 6-sulfo Lewis X-positive colon cancer cell line with a calcium ionophore ionomycin markedly reduced sialyl 6-sulfo Lewis X and induced cyclic sialyl 6-sulfo Lewis X expression.[PMID:10728707]	10728707|31222115|9990070|23088960		GlycoEpitope:EP0017|CID:91858084|CHEBI:147484	The accumulated intracellular cyclic sialyl 6-sulfo Lex determinant may function as a dormant pool of selectin ligands.[GlycoEpitope:EP0017]				glycan_xref_dictionary	GSD000052
G57710SU	Cytolipin R		"The reaction can be inhibited completely by pure cytolipin R showing that (a) immune hemolysis can be mediated through lipid determinants in the membrane, and (b) that cytolipin R determinants are present in the intact erythrocyte membrane and exposed on the surface.[PMID:4110375]"	893368|4375678|51702|186204|4110375|5068000|24174198|6072378|389925|7054174	A ceramide tetrahexoside isolated from rat lymphosarcoma. The structure of cytolipin R to be N-acetylgalactosaminyl(beta1--&gt;3)galactosyl(alpha1--&gt;3) galactosyl(beta1--&gt;4)glucosyl ceramide.[PMID:5068000]	GlycoMotif:GGM.000083|GTC:G57710SU|CID:91855936|KEGG:G00392|CHEBI:152175|SugarBind_Ligand:17		Actinomycosis[SugarBind_Ligand:17]			glycan_xref_dictionary	GSD000053
G79535HZ	Dimeric Lewis x	DimLex^x|dimeric Le(x)|Lex-Lex|diLe(x)|Lewisx-Lewisx	"The carbohydrate antigen dimeric Lewis X (DimLex), which accumulates in colonic and liver adenocarcinomas, is a valuable target to develop anti-cancer therapeutics.[PMID:32957489]"	32957489|31276881|12062524|15488731|1979361|8737237|17939723|7683631|11384108|11133015|17388629|15483381|12662048|3233598|18618154|21892456	A six-membered glucosamine oligosaccharide consisting of two repeating units of β-D-Gal-(1→4)-[α-L-Fuc-(1→3)]-β-D-GlcNAc joined by a (1→3)-linkage.[CHEBI:61325]	GTC:G79535HZ|GlycoEpitope:EP0093|CID:50909845|CHEBI:61325|GlycoMotif:GGM.000031	cancer-associated antigen[GlycoEpitope:EP0093]	colonic cancer[GlycoEpitope:EP0093]|liver cancer[GlycoEpitope:EP0093]		Chapter 14	glycan_xref_dictionary	GSD000058
G54792LL	Diphosphorylated Man6	Diphosphorylated Man_6	"Here we report that the single-chain variable domain (scFv) M6P-1 is a unique antibody fragment with specificity for Man6P monosaccharide that, through an array-screening approach against a number of phosphorylated N-glycans, is shown to bind mono- and diphosphorylated Man6 and Man7 glycans that contain terminal αMan6P(1 → 2)αMan(1 → 3)αMan.[PMID:26503547]"	26503547		GTC:G54792LL|GlycoMotif:GGM.000054					glycan_xref_dictionary	GSD000059
G97932OH	Disialosyl globopentaosylceramide	DSGb5|Disialosyl Gb5|V3NeuAcIV6NeuAc-Gb5Cer|Disialosylgalactosylgloboside	Disialosyl globopentaosylceramide (DSGb5) is often expressed by renal cell carcinomas.[PMID:31339142]	31339142|24637536|25864532|27344728|12084983|32567311|28205070|20663960|18214042	Disialosyl globopentaosylceramide (DSGb5) is a ganglioside originally isolated from tissue extracts of renal cell carcinoma (RCC) with metastasis.[PMID:28205070]	GlycoMotif:GGM.000082|GTC:G97932OH|GlycoEpitope:EP0098|CID:91860287|KEGG:G00181|SugarBind_Ligand:57	promotes metastasis[PMID:28205070]	prostate cancer[PMID:24637536]|renal cell carcinoma/RCC[GlycoEpitope:EP0098]|Pyelonephritis[SugarBind_Ligand:57]			glycan_xref_dictionary	GSD000060
G97932OH	Disialyl Gb5		"The major disialoganglioside antigen isolated from ACHN cells, showing specific reactivity with 5F3, was characterized unequivocally as disialosyl Gb5 (V(3)NeuAcIV(6)NeuAcGb5) by identification of the core structure as globopentaosylceramide (Gb5) after enzymatic and acid hydrolysis, and by 2-dimensional (1)H-NMR spectroscopy.[PMID: 12084983]"	12084983		GlycoEpitope:EP0098|GTC:G97932OH|CID:91860287|SugarBind_Ligand:57|KEGG:G00181		renal cell carcinoma/RCC[GlycoEpitope:EP0098]|Pyelonephritis[SugarBind_Ligand:57]			glycan_xref_dictionary	GSD000061
G54937EM	Disialyl I	disialyl-I	"Here we present an example of promotion of binding of soluble-form FN from placenta or from hepatoma cells, having a specific carbohydrate epitope termed 'disialyl-I,' to K562 or VA13 cell surface in the presence of glycosphingolipid Gg3, which interacts specifically with disialyl-I[PMID:10640401]"	10640401		GlycoEpitope:EP0095|GTC:G54937EM|CID:91849523					glycan_xref_dictionary	GSD000062
G93400AK	Disialyl Lewis a	disialyl Lea	"Biosynthesis of disialyl Lewis a (Lea) was analyzed using previously cloned ST6GalNAc V and ST6GalNAc VI, which were responsible for the synthesis of alpha-series gangliosides.[PMID:12668675]"	12668675|17760270|15231659|12668106|30716533|32050430|22467657	Disialyl Lewis is a sialyl Lewis a with an additional sialic acid attached at the C-6 position of penultimate GlcNAc. [PMID:15231659]	GTC:G93400AK |GlycoEpitope:EP0040|CID:91854138|CHEBI:155549	"The 2-3,2-6 disialyl Lea determinant on epithelial cells may play a role in protecting normal epithelial cells.[GlycoEpitope:EP0040]"	"Mucin antigen carrying 2-3 sialylated Le a antigen or 2-3, 2-6 disialylated Lc4 antigen in cancer patients had the lowest carbohydrate/protein ratio. Thus, the carbohydrate/protein ratio in the type 1 chain mucin antigens in sera of normal subjects is higher than that in sera of cancer patients.[GlycoEpitope:EP0040]"			glycan_xref_dictionary	GSD000063
G01614ZM	Disialyl T antigen	di-sialyl T antigen|disialyl-T antigen|disialylated T-antigen|disialyl-T|di-sialylated T-antigen (NeuAc_2,3Gal_1,3(NeuAc_2,6)GalNAc)	"The most potent glycoside was disialyl T antigen (NeuAcalpha2-3Galbeta1-3[NeuAcalpha2-6]GalNAc-R), followed by 3-sialyl T antigen (NeuAcalpha2-3Galbeta1-3GalNAc-R), structures expressed on O-linked glycoproteins as well as on gangliosides.[PMID: 15701648]"	29113555|17974963|33242079|12645620|15701648|26598643	α-Neup5Ac-(2→6)-[α-Neup5Ac-(2→3)-β-D-Galp-(1→3)]-α-D-GalpNAc in which the anomeric configuration of the reducing-end N-acetyl-D-glucosamine residue is α.[CHEBI:71602]	GlycoMotif:GGM.000014|GTC:G01614ZM|CID:70698317|CHEBI:71602|GlycoEpitope:EP0023|KEGG:G00027	associated with von Willebrand factor(VWF) plasma levels[GlycoEpitope:EP0023]				glycan_xref_dictionary	GSD000064
G80062GG	Forssman antigen		Here we report the crystal structure of the complex between SLL-2 and Forssman antigen tetrasaccharide (GalNAcα1-3GalNAcβ1-3 Galα1-4 Galβ at 3.4 √Ö resolution.[PMID:28510705]	28510705|31933576|28134301|7021748|1802714|7512587|7747818|23325748|268649|31816281|22015168|4147161|2857159|6267170|7293775|13367419|20636540|10460829|23255552|2675268|18955372|7020692|31784953|4114942|31273262|6257673|7696847|1916901|11169215|48262|26022515|6175621|31404475|6983878|8381954|10431785|3257757|6792413|25039359	"A linear amino pentasaccharide comprising N-acetyl-α-D-galactosamine, N-acetyl-β-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→3), (1→4) and (1→4).CHEBI:85789]"	GTC:G80062GG |GlycoEpitope:EP0037|CID91825690|CHEBI:85789				Chapter 45	glycan_xref_dictionary	GSD000068
G80062GG	Forssman glycolipid	Forssman antigen|Globopentosylceramide	"Analysis of metabolically labeled glycolipids released into the apical and basal culture medium, either as shed membrane vesicles or in budding viruses, also demonstrated the presence of the Forssman glycolipid on both apical and basolateral membranes of polarized cells.[PMID:3040119]"	3040119|268649|23240079|28134301|3495590|1138893|10460829|10506200|8855242|1955453|1933935|3355161|6773959|14573676|29898878|10431785|1747956|11214737|7423202|389939|3871816|6187373|16133832|469271|3753492|2695680|7037611|25703376|23798992|414913|1868069|7960243	"A linear amino pentasaccharide comprising N-acetyl-α-D-galactosamine, N-acetyl-β-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→3), (1→4) and (1→4).[CHEBI:85789]"	GlycoMotif:GGM.000084|GTC:G80062GG|CID:91825690|KEGG:G00095|CHEBI:85789|GlycoEpitope:EP0037|SugarBind_Ligand:86	an antigenic marker for a major subpopulation of macrophages from murine spleen and peripheral lymph nodes[PMID:3495590]	Pyelonephritis[SugarBind_Ligand:86]|Acute cystitis[SugarBind_Ligand:86]		Chapter 45	glycan_xref_dictionary	GSD000069
G91532KA	Fucosyl GM1		Unique localization of fucosyl GM1 implicates its possible role in cell adhesion and recognition in the nervous system.[PMID:8068725]	6619101|16880505|9089399|29789847|8068725|19556222|1660040|2420639|9076515|15926079|19555091|2541996|16211870|1336587|21174147|14967068|18923900|30021910|16941490|27070150|8305235|10602885|2645049|7993838|10537341|3002616|8336147|15447995|8905401|11714535|9260862|32228455|3315641|8076384|2317201|3680254|6403518	A branched amino hexasaccharide consisting of the linear sequence α-L-Fuc-(1→2)-β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-D-Glc having a Neu5Ac residue attached to the inner galactose via an α-(2→3) linkage.[CHEBI:62686]	GTC:G91532KA |GlycoEpitope:EP0049|CID:53356699|CHEBI:62686		small-cell lung cancer(SCLC)[GlycoEpitope:EP0049]|hepatoma[GlycoEpitope:EP0049]			glycan_xref_dictionary	GSD000071
G02240AO	Fucosylated LDN	LDNF|Fucosylated lacdiNAc|LDN-F|(GalNAc)1 (GlcNAc)1 (LFuc)1	"To date, oligomeric LDN and oligomeric fucosylated LDN (LDNF) have been found only on N-glycans from mammalian cells engineered to express Caenorhabditis elegansbeta4-GalNAc transferase and human alpha3-fucosyltransferase IX [Z. S. Kawar et al. (2005) J Biol Chem280, 12810-12819]. [PMID:16403022]"	16403022|28151933|19545571|22448293	"An amino trisaccharide comprising an acetamido-β-D-galactose and an α-L-fucose attached to an acetamidoglucose by 1→4 and 1→3 linkages, respectively.[CHEBI:61864]"	GlycoMotif:GGM.000017|GTC:G02240AO|GlycoEpitope:EP0151|CID:52921591|CHEBI:61864|MeSH:C488538|KEGG:G01594					glycan_xref_dictionary	GSD000075
G67988RO	Galabiosylceramide		"LacCer and its structural isomer, galabiosylceramide (Gb2, Galβ(1,4)Galβ-ceramide), are classified as ceramide dihexosides (CDH).[PMID:33360824]"	33360824|29099167|25582508|2824515|4027258|32854306|32868283|31319156|29530250|27367163|2564247|27727434|10216186|10460829|24992926|23590301|15702404|1854798|14761135|3600200|8603914|8601603|1965141|17400502|3840690|15959771|7930586|7721812|17095952|2500499|3815386|8842706|10746023|3928791|3782065|6440894	A disaccharide consisting of β-D-galactopyranose having a D-galactopyranosyl residue attached at the 4-position via an α-linkage.[CHEBI:59314]	GlycoEpitope:EP0113|GTC:G67988RO|CID:5288350|KEGG:G00497|KEGG:G10645|CHEBI:59314		tumor/lung[GlycoEpitope:EP0113]|tumor/gallbladder[GlycoEpitope:EP0113]|tumor/kidney[GlycoEpitope:EP0113]|tumor/pancreas[GlycoEpitope:EP0113]			glycan_xref_dictionary	GSD000078
G65889KE	Galactosylceramide	GalCer|Galactocerebroside|LC	"Galactosylceramide improved behavioral, neuropathological, and biochemical parameters in Cln3 Cln3 Δex7/8 mice, paving the way for effective therapy for CLN3 disease and use of serum ceramide as a potential biomarker to track impact of therapies.[PMID:31393621]"	31393621|19941861|9883654|33006978|26735924|22032265|18035062|25129050|2802541|1761517|28660574|475780|2302222		GTC:G65889KE|GlycoEpitope:EP0074|SugarBind_Ligand:1|GlycoMotif:GGM.000061		Pleuropneumonia[SugarBind_Ligand:1]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:1]|Lyme disease[SugarBind_Ligand:1]|Plague[SugarBind_Ligand:1]|Acquired immune deficiency syndrome[SugarBind_Ligand:1]			glycan_xref_dictionary	GSD000079
G33532XU	Galnac disialyl Lc4 (Hexasaccharide)		"Therefore, a new marker for prostate cancer is urgently required. We examined expression of a novel carbohydrate antigen, beta1,4-GalNAc-disialyl-Lc(4), defined by the monoclonal antibody RM2, in prostate cancer using 75 cases of radical prostatectomy specimens.[PMID: 12084983]"	15704108|11278988|12084983|7509790	"(2R,4S,5R,6R)-5-Acetamido-2-[[(2R,3S,4R,5R,6S)-5-acetamido-4-[(2R,3R,4R,5S,6R)-4-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-5-[(2S,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-[(3R,4S,5S,6R)-2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-yl]oxyoxan-2-yl]methoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CID:91857945]"	GlycoEpitope:EP0097|GTC:G33532XU|CID:91857945|CHEBI:149360		prostate cancer[GlycoEpitope:EP0097]|renal cell carcinoma/RCC[GlycoEpitope:EP0097]			glycan_xref_dictionary	GSD000080
G99053DY	Gb5	Globopentaosylceramide	"LnbB, a member of the glycoside hydrolase family 20 isolated from Bifidobacterium bifidum, was shown to release GNB from Gb5 and GA1 oligosaccharides.[PMID:25839135]"	12401210|25839135|31540393|31140679|3028540|3674263|31339142|30026902|10721708|30671362|26176557|25039255|24044869|32567311|27857717|21491978|24910250|29077212|8014006|27107335|32679486|1747956|8679447|28352526|11341836|10837462|7960243|16158941|3297853|2431136|21734356|8625206|30732055|12716912|20128040|2582447|14659673	A linear amino pentasaccharide comprising D-glucose at the reducing end with a β-D-galactosyl-(1→3)-N-acetyl-β-D-glucosaminyl-(1→3)-α-D-galactosyl-(1→4)-β-D-galactosyl moiety at the 4-position.[CHEBI:141842]	GlycoMotif:GGM.000076|GTC:G99053DY|CID:53239691|KEGG:G00097|CHEBI:62311|SugarBind_Ligand:12		Pyelonephritis[SugarBind_Ligand:12]|Actinomycosis[SugarBind_Ligand:12|Influenza[SugarBind_Ligand:12]		Chapter 11	glycan_xref_dictionary	GSD000081
G81983KG	GD1	GD1c	Hormonal and metabolic disturbances observed in both adult and paediatric patients with Gaucher disease type 1 (GD1) are discussed in this review. The PubMed database was used to identify articles on endocrine and metabolic disorders in GD1.[PMID:31791361]	5652802|25345088|31791361|29361370|31234327|30264864|25250137|7528216|31669751|20684311|16306603|10420586|7766692|31614613|26384672|31613991|19210136|8926633|29696051|32300455|7513313|26674302|20336376|24259734|31704237|21067946|30516933|27979707|26345314|30516941|31849452|27789132|30218706|29388611|20177787		GlycoMotif:GGM.000105|GTC:G81983KG|CID:91859783|KEGG:G00126					glycan_xref_dictionary	GSD000082
G46677TE	GD1a	GD1alpha	"Exclusive exposure of rat oligodendrocytes to GD1a, but not other gangliosides, overcomes aggregated fibronectin-induced inhibition of myelin membrane formation, in vitro, and OPC differentiation in fibronectin aggregate containing cuprizone-induced demyelinated lesions in male mice. [PMID: 28899916]"	28899916|26860251|21930390|32906699|26054879|29951721|11745410|17653976|26119566|21554929|18435913|15342262|26865725|21151139|15716397|21492147|16942752|26973195|24449473|14999485|22735313|20589721|10521808|22929125|7827024|16897174|25062498|17227759	A branched amino hexasaccharide consisting of the linear sequence α-Neu5Ac-(2→3)-β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to a galactose via an α-(2→3) linkage. The oligosaccharide of ganglioside GD1a.[CHEBI:59209]	GlycoMotif:GGM.000106|GlycoMotif:GGM.000107|GTC:G46677TE|GTC:G45714BQ|CID:45266861|CHEBI:59209|GlycoEpitope:EP0056|SugarBind_Ligand:22|KEGG:G00111		Gastroenteritis[SugarBind_Ligand:22]|Actinomycosis[SugarBind_Ligand:22]|Lazy leukocyte syndrome[SugarBind_Ligand:22]|Toxoplasmosis[SugarBind_Ligand:22]|Lyme disease[SugarBind_Ligand:22]|Botulism[SugarBind_Ligand:22]|Keratoconjunctivitis[SugarBind_Ligand:22]|Influenza[SugarBind_Ligand:22]			glycan_xref_dictionary	GSD000083
G37184KW	GD1b		Gangliosides have been known to play a role in the regulation of apoptosis in cancer cells. This study has employed disialyl-ganglioside GD1b to apoptosis in human breast cancer MCF-7 cells using exogenous treatment of the cells with GD1b and endogenous expression of GD1b in MCF-7 cells.[PMID: 27144558]	27144558|24859332|18625966|7945223|32518172|26710925|31837178|20594196|30985655|11511306|1742806|11123278|7685064|2709011|33279873|22929125|9179156|17964572|8821498|32726962|26560950|2611779|10072058|20030259|16415013|10797556|11342695|8619520|21519903|16199892|23777091|30246056|10481046	"A branched amino hexasaccharide comprising a β-D-galactosyl-(1→4)-β-D-glucose disaccharide, the galactosyl residue of which carries β-D-galactosyl-(1→3)-N-acetyl-β-D-galactosaminyl and N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl disaccharide units through (2→4) and (2→3) linkages respectively. It is the carbohydrate portion of ganglioside GD1b.[CHEBI:59222]"	GlycoMotif:GGM.000108|GTC:G37184KW|CID:45266846|CHEBI:59222|GlycoEpitope:EP0059|SugarBind_Ligand:14				Chapter 47	glycan_xref_dictionary	GSD000084
