source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
α2,6 sialic acids		1			0
Thomson-nouveau antigen (Tn)		1			0
sialylated form (STn)		1			0
oligo-mannose		1			0
hybrid-type		1			0
α2,6-sialylated structures		1			0
tetra-antennary structures		1			0
glycomic fingerprint		1			0
core-fucosylated triantennary glycans with outer-arm fucose		1			0
high mannosylated glycans		1			0
bisected type N-glycans		1			0
LewisX antigens		1			0
complex type N-glycans with bisecting GlcNAc		1			0
sTn antigen		1			0
Tn antigen (GalNAcα1-Thr/Ser)		1			0
GAG-NREs		1			0
immature truncated O-glycans		1			0
high mannose, core-fucosylated, hyperbranched/hypersialylated N-glycans		1			0
glycan (m/z 2118)		1			0
O-glycosylated MUC1		1			0
N-glycan profiles		1			0
Glc₁Man₉GlcNAc₂		1			0
Gal₂Man₃GlcNac₄Fuc₁Neu₁		1			0
Man₄GlcNac₂		1			0
Gal₂Man₃GlcNac₄Neu₃OAc₃		1			0
Man₃GlcNac₅ Fuc₁		1			0
Glycan	Glycans	1		gsd_strict	2
O-linked N-acetylgalactosamine (O-GalNAc)		1			0
core fucosylated glycoforms		1			0
sialyl-Lewis x -Lewis x		1			0
O-linked glycans carrying alpha2,3-linked sialic acid		1			0
Mac-2 Binding Protein Glycosylation Isomer		1			0
asialylated or monosialylated biantennary and triantennary N-glycans		1			0
fully galactosylated structures		1			0
bisialylated biantennary and trisialylated triantennary structures		1			0
agalacto core-alpha-1,6-fucosylated biantennary glycan (NGA2F)		1			0
Lewis(X) motif		1			0
tetraantennary N-glycans		1			0
core-fucosylated biantennary digalactosylated N-glycan		1			0
tri- and tetra-antennary fucosylated N-glycans		1			0
IgG1G0F		1			0
IgG2G0F		1			0
IgG2G1FN		1			0
IgG2G1FS		1			0
IgG2G2S		1			0
IgG4G0F		1			0
IgG4G1FS		1			0
IgG4G1S		1			0
IgG4G2FS		1			0
IgG4G2N		1			0
mannose-enriched glycans		1			0
Sia-alpha2-6Gal/GalNAc		1			0
monosialylated glycans		1			0
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-2Manalpha1-3Manbeta1-4GlcNAc		1			0
glycan chains of fetuin		1			0
Core 1-derived O-glycans		1			0
Core 2-derived O-glycans		1			0
Core 3-derived O-glycans		1			0
monofucosylated N-glycans		1			0
difucosylated N-glycans		1			0
core-type fucosylated N-glycan	Core-fucosylated	1	G78059CC	gsd_strict	2
Lewis-type fucosylated N-glycan		1			0
NeuAc1Gal1GalNAc1		1			0
NeuAc2Gal1GalNAc1		1			0
monosialylated diantennary glycans A2G2S(6)1 and FA2G2S(3)1		1			0
α2,3 sialylation		1			0
complex glycan		1			0
N-Glycans	N-linked glycans	1	G78059CC	gsd_strict	2
GD1	GD1	1	G81983KG	gsd_strict	2
sialyl-T (O-glycan)	Sialyl T antigen	1	G65562ZE	gsd_strict	2
free oligosaccharides (fOSs)		1			0
core-2 tetrasaccharide Galbeta1-->4GlcNAcbeta1-->6(Galbeta1-->3)GalNAcOH++		1			0
sialyl Lewis x antigen	Sialyl Lewis x	1	G00054MO	gsd_strict	2
disialylated, monofucosylated glycan		1			0
monosialylated, trifucosylated glycan		1			0
core fucose residues		1			0
core-fucose	Core fucose	1		gsd_strict	2
complex neutral		1			0
fucosyltransferases		1			0
glycosylation level		1			0
total α-1,6-core fucosylated biantennaries (NGA2F, NG1A2F, NA2F)		1			0
total bisecting α-1,6-core fucosylated biantennaries (NGA2FB, NA2FB)		1			0
branching α-1,3-fucosylated triantennary N-glycan (NA3FB)		1			0
α-1,6-core fucosylated structure NA2F		1			0
non-fucosylated structure NA2		1			0
pauci-mannose/mono-antennary type N-glycans		1			0
bisecting GlcNAc residues		1			0
(neo)lacto-series glycosphingolipids		1			0
2-linked mannose		1			0
β1-4 branching		1			0
4-linked GlcNAc		1			0
antennary fucosylation		1			0
fucosylated triantennary structures		1			0
fucosylated biantennary with core-branched N-acetylglucosamine		1			0
triantennary structures		1			0
tetraantennary tetrasialylated glycan with a polylactosamine extension, A4G4LacS4		1			0
triantennary trisialylated glycan containing the SLex epitope		1			0
bisecting and sialylated glycans		1			0
Core 1 type glycans		1			0
core-fucosylated, multiply branched and sialylated structures		1			0
two core-fucosylated and agalactosylated glycans (m/z 1591, 1794)		1			0
sialyl (S)Tn		1			0
glycated hemoglobin HbA1c		1			0
PGP10(FA1G1Ga1)		1			0
PGP11(FA2G2)		1			0
PGP15(FA3G2)		1			0
PGP17(A2G2S)		1			0
BGP11(F(6)A2B)		1			0
sialylated tri- or tetra-antennary glycans		1			0
3-sialylated tri-antennary N-glycopeptides		1			0
sialylated Lewis type epitope		1			0
core-fucosylated high mannose N-glycans		1			0
internally sialylated glycans		1			0
Sialyl Lewis X (sLe<sup>x</sup>)		1			0
DSIgG1 G1FN/G0FN, G2N/G2, G2FN/G2N		1			0
DSIgG2 G1F/G0F, G1FN/G0FN, G2N/G1N, G2S/G2		1			0
agalactosylated biantennary glycans		1			0
biantennary (NA2) N-glycans		1			0
triantennary (NA3) N-glycans		1			0
bisected complex type N-glycans		1			0
H4N3S1		1			0
H4N3F1		1			0
H6N4S2		1			0
H6H5F1S2		1			0
H6N5		1			0
H6N6F1S1		1			0
O-linked galactosyl beta1,3 N-acetylgalactosamine (Gal beta1-->3GalNAc)		1			0
α1-6 fucosylated tri-antennary glycans		1			0
core- and arm-fucosylation on tetra-antennary glycans		1			0
high-mannose type glycans		1			0
highly-branched sialyted N-glycans		1			0
Bisecting GlcNAc		1			0
triantennary glycan		1			0
sialylated mucin-type O-glycan with core 1- and core 2-based structures		1			0
H-type 1 antigen (Fuc-α1,2-Gal-β1,3-GlcNAc)		1			0
sialylated glycan chains		1			0
sulfated O-glycans		1			0
poly-N-acetyllactosamine chains		1			0
complex-type branched N-glycans		1			0
outer-arm fucosylation		1			0
tri- and tetra-branched structures		1			0
bisecting glycans		1			0
N-linked glycome		1			0
sialyl Lewis antigens		1			0
core-fucosylated-agalacto-biantennary		1			0
fucosylated-galactosylated-triantennary		1			0
afucosylated-galactosylated-biantennary		1			0
multi-glycans		1			0
methylglyoxal		1			0
sialyl-Lewis X (SLe(X))		1			0
bisected N-glycans		1			0
di/triantennary complex type N-glycans		1			0
biantennary fucosylated structures		1			0
fucosylated, afucosylated tri- and tetraantennary structures		1			0
N-glycans H6N5F1		1			0
N-glycans H7N6F1		1			0
N-glycans H3N4F1		1			0
N-glycans H5N4F3		1			0
core 2-based glycans		1			0
core 1-based glycans		1			0
6-sulfo sialyl Lewis x (sLex)		1			0
MECA-79 epitope		1			0
NeuAcalpha2-3Galbeta1-3GalNAc-ol		1			0
Galbeta1-3GalNAc-ol		1			0
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-6[NeuAcalpha2-3Galbeta1-3]GalNAc-ol		1			0
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-6[NeuAcalpha2-3Galbeta1-4GlcNAcbet a1-3Galbeta1-3]GalNAc-ol		1			0
acetylation		1			0
globo-type glycans		1			0
disialyl gangliosides		1			0
glycan biomarkers		1			0
known glycan structures		1			0
A2G1		1			0
FA2[6]G1		1			0
FA2[3]G1		1			0
FA2[6]BG1		1			0
FA2[3]BG1		1			0
FA2G2S2		1			0
Hex4HexNAc2		1			0
Hex7HexNAc6dHex1Neu5Ac4		1			0
biantennary complex-type N-glycan		1			0
high-mannose structures (Hex(5-9)HexNAc(2))		1			0
complex/hybrid-type glycans (NeuAc(0-3)Fuc(0-3)Hex(3-8)HexNAc(3-7))		1			0
bisecting N-linked glycan structures		1			0
Mac-2 binding protein glycosylation-modified isomer (M2BPGi)		1			0
gangliosides		1			0
polysialylated glycans		1			0
HNK1-epitope		1			0
6-sialylated biantennary glycans		1			0
oxidation		1			0
O-acetylated sialoglycoproteins		1			0
sialylated N-glycan structures		1			0
fucosylated N-glycan structures		1			0
tandem repeat polypeptides		1			0
sialylated bi-antennary glycans		1			0
tri-antennary, N-linked, fucosylated glycans		1			0
minor tri-antennary N-linked glycan		1			0
O-mannosylated glycan		1			0
cell surface glycosylation		1			0
sialyl Lewis X epitopes (SLe(X))		1			0
core fucosylated agalactosyl biantennary glycans		1			0
core glycan, consisting of two GlcNAc and three hexoses		1			0
3'-sialyl N-acetyllactosamine (3'-SLN)		1			0
glycan repertoire of the human parasite Schistosoma mansoni		1			0
DTR motif of MUC1		1			0
α2,3-linked sialoglycans		1			0
α2,6- and α2,3-sialylated glycan structures		1			0
GalNAc-Ser/Thr		1			0
fucosyl vs non-fucosyl		1			0
O-linked glycan	O-linked glycans	1		gsd_strict	2
mucin core-1 sugar		1			0
biantennary complex type disialyloligosaccharide		1			0
Oligomannosidic glycans		1			0
(2,6)-branched triantennary glycans		1			0
hybrid structures		1			0
alpha(1,3)-fucosylation		1			0
alpha(1,6)-core fucosylation		1			0
bisecting GlcNAc residue		1			0
di-sialylated T-antigen (NeuAcα2,3Galβ1,3(NeuAcα2,6)GalNAc)		1			0
mannose octasaccharide		1			0
mannose hexasaccharide		1			0
biantennary complex-type structure		1			0
core-2 glycans		1			0
CA 125		1			0
oligomannose glycoforms		1			0
GalNAc alpha 1----Ser/Thr		1			0
alpha2,3-sialylation		1			0
WFA-recognized glycans		1			0
terminal N-acetyl galactosamine		1			0
N-acetyl glucosamine oligomers		1			0
tri/tetra-antennate non-bisected complex N-linked glycan		1			0
core fucosylated, agalactosyl biantennary glycans (FA2)		1			0
sialyl Lewis x (SLe(x))	Sialyl Lewis x	1	G00054MO	gsd_strict	2
non-natural sialyl TF-beta O-glycan		1			0
high-mannose N-glycan [-(N-acetylglucosamine)2-(mannose)5-8]		1			0
high-mannose and fucosylated biantennary complex N-linked glycans		1			0
type-2 oligosaccharides		1			0
alpha2-3 sialylation		1			0
bisecting N-acetylglucosamine residue		1			0
neutral oligosaccharides		1			0
alpha1,6-fucosylation		1			0
Core 1 (beta-Gal(1-3) alpha-GalNAc-O-Ser/Thr)		1			0
S-linked glycans		1			0
Lewis(X) antigen		1			0
TIMP-1 glycans		1			0
biantennary and hybrid N-linked structures		1			0
high mannose N-glycan	High mannose	1	G55220VL	gsd_strict	2
Siaα2,6Gal		1			0
Siaα2,3Gal		1			0
glycoforms of fetuin		1			0
N- and O-linked sugars		1			0
non-sialylated N-glycans		1			0
GlcNAc(2)Man(7)		1			0
sialylated T-antigens		1			0
highly sialylated O-linked glycans		1			0
Le(a) trisaccharide antigen		1			0
Le(x) trisaccharide antigen		1			0
DF3 epitope		1			0
alpha 1-ACT glycans		1			0
terminal glycosylation		1			0
FA2BG2		1			0
Lewis(x) epitope		1			0
high-mannose 5		1			0
tetraantennary structures		1			0
core-fucosylated tetraantennary N-glycans		1			0
advanced glycation end product (AGE)-modified proteins		1			0
asparagine-linked saccharide units		1			0
monoantennary glycans		1			0
highly sialylated glycans		1			0
disialylated glycans		1			0
tri- and tetra-antennary glycans		1			0
tri-, di-, mono- and non-sialylated complex-type N-glycans		1			0
bi-antennary-fucosylated GlcNAc-terminated residues		1			0
Wisteria floribunda agglutinin reactive glycan (LacdiNAc)		1			0
Lewis X antigen group		1			0
O-glycan cryptic epitope, gp(C1)		1			0
Muc1		1			0
core-fucosylated bi-antennary monosialylated glycans		1			0
bisecting bi-antennary and non-fucosylated glycans		1			0
sialylated N-glycopeptide structures LPTQNITFQTESSVAEQEAEFQSPK HexNAc6, Hex3, Neu5Ac2		1			0
structure IVLDPSGSMNIYLVLDGSDSIGASNFTGAK HexNAc5, Hex4, Fuc1		1			0
Le(a)Le(x) tumor-associated carbohydrate antigen		1			0
L-galactosylated dimeric sialyl Lewis X		1			0
O-mannosyl glycans	O-linked mannose	1	G59126YU	gsd_strict	2
sialic acid-containing structures		1			0
fucose-containing structures		1			0
α1,3fucosylated AGP (fAGP)		1			0
glycans with one complex type antenna		1			0
bigalactosylated biantennary glycans		1			0
nongalactosylated biantennary glycans		1			0
agalactosylated IgGs terminating with N-acetylglucosamine		1			0
sialylated, mucin-like domain		1			0
high mannose type and biantennary glycans		1			0
triantennary chains		1			0
acute-phase glycoproteins		1			0
O-mannose-linked HNK-1		1			0
core-type 1 O-glycans		1			0
α1,3fucosylated glycans		1			0
nonfucosylated glycans		1			0
isomers with more α-2,6-linked sialic acids		1			0
complex-type N-glycosylation		1			0
asialo-bisecting GlcNAc type N-glycan		1			0
Sialyl Lewis (sLe(x))		1			0
glycosylation of acetylcholinesterase		1			0
H-type II blood group determinant pentasaccharide		1			0
lacto-N-fucoheptaose		1			0
α1-3/4 fucosyl epitope at Asn 241		1			0
Advanced glycation end products (AGEs)		1			0
Fucose		1			0
Sialylation	sialylation	1		gsd_strict	2
difucosylated cores		1			0
paucimannosidic N-glycan (Man(3)GlcNAc(2))		1			0
galactosylation of diantennary glycans		1			0
sialylated biantennary, triantennary and tetra-antennary oligosaccharides		1			0
hyposialylated transferrin		1			0
sialylated moieties		1			0
mannosylated moieties		1			0
deoxyfructosyl-lysine		1			0
core type 1 and type 2 glycans		1			0
high mannose and complex bisecting type N-linked glycans		1			0
G2890		1			0
G3560		1			0
core 1 O-glycan		1			0
ABO blood group antigens		1			0
A9 antigen		1			0
multi-antennary glycans		1			0
transferrin glycans		1			0
Mac-2-binding protein glycosylation isomer		1			0
globotriaose		1			0
isoglobotriaose		1			0
α-lactosylceramide		1			0
Siaα2-6Gal/GalNAc		1			0
Galβ4GlcNAc		1			0
GalNAcα3GalNAc		1			0
Galβ3GalNAc		1			0
branching/LacNAc elongation		1			0
sialyl-T		1			0
N- and O-glycosylation patterns		1			0
MUC1 glycosylation		1			0
dimeric Le(x) oligosaccharide		1			0
glycopeptide neoantigen epitopes centering the GSTA sequence		1			0
glycoconjugates		1			0
mucin-type core 1 structures		1			0
core 2 O-linked sLe(x)		1			0
glycan modifications		1			0
NeuNAc alpha 2----3Gal beta 1----3 (NeuNAc alpha 2----3Gal beta 1----4GlcNAc beta 1----6) GalNAcOH		1			0
301N-glycan		1			0
O-glycan α-2,6-sialylation		1			0
Fucosylated structures		1			0
O-glycan patterns		1			0
sialyl-TF		1			0
sialyl-dimeric Le(x)		1			0
core-part of glycans		1			0
FA2		1			0
sugar moiety		1			0
Gb3	Globotriaosylceramide	1	G00059MO	gsd_strict	2
sulfated type 2 tumor-associated carbohydrate antigens		1			0
glycosylated form of Siglec-6		1			0
AcPAPGS(alpha GalNAc)T(alpha GalNAc)APPA		1			0
AcS(alpha GalNAc)T(alpha GalNAc)APPA		1			0
HbA1c		1			0
glycosylated signaling molecules		1			0
carboxyethyl-lysine (CEL)		1			0
2-succinocystein (2SC)		1			0
sialyl LewisX (sLex)		1			0
asialotransferrin to sialotransferrin ratio		1			0
bi-antennary structures		1			0
tri-antennary/bisecting structures		1			0
sulfated N-glycans		1			0
sialylated Thomsen-Friedenreich antigens		1			0
non-sulfated HNK-1 glyco-epitope		1			0
high-mannose and complex-type fucosylated N-glycans		1			0
serum fucosylation		1			0
IgG peak 7		1			0
PNA-specific glycans		1			0
truncated precursor glycan structures		1			0
oligo-mannose oligosaccharides		1			0
sialylated biantennary glycans		1			0
core fucosylated biantennary glycans		1			0
triantennary glycan with two fucoses		1			0
disialotransferrin		1			0
glycosyl modification		1			0
High-mannose-type, complex-type, and hybrid-type oligosaccharides		1			0
Man6P (mannose 6-phosphate)		1			0
Uridine Diphosphate N-acetylglucosamine		1			0
Glucosamine		1			0
glycated RBP		1			0
tumor-associated glycoprotein (TAG)-72		1			0
glycosylated proteoforms		1			0
Uridine diphosphate N-acetylglucosamine (UDP-GlcNAc)		1			0
biantennary N-linked		1			0
N-glycan core-afucosylation		1			0
NeuAcalpha2-3Galbeta1-3GalNAcol		1			0
NeuAcalpha2-3Galbeta1-3(NeuAcalpha2-6)GalNAcol		1			0
Galbeta1-3(NeuAcalpha2-6)GalNAcol		1			0
Galbeta1-3GalNAcol		1			0
N-glycan oligosaccharides		1			0
fucosylated paucimannose		1			0
GalNAc-rich O-glycans		1			0
N-linked complex type		1			0
high mannose-type N-linked glycans		1			0
additional glycan at the N-terminal base of the V2 loop		1			0
glycosylation profiles		1			0
monosaccharides		1			0
underglycosylated mucin-1 (uMUC1)		1			0
mucin-type glycopeptides		1			0
N-glycans of the oligomannosidic or hybrid type		1			0
HexNAc5Hex4dHex1s/p1		1			0
VVL		1			0
DSA		1			0
SNA		1			0
C-glycosyl amino acids		1			0
3,4,6-tri-O-acetyl-2-azido-2-deoxy-alpha-D-galactopyranosyl		1			0
Tn-antigenic structures		1			0
hyperglycosylation of CD19		1			0
core 2 oligosaccharide Galβ3(Galβ3/4GlcNAcβ6)GalNAc-ol		1			0
glycated hemoglobin (HbA1c)		1			0
H-type 2		1			0
sialyl-oligosaccharide		1			0
glycosylated exoPD-L1		1			0
advanced glycosylation end products (AGEs)		1			0
sialyl-Lewis(x) antigen		1			0
GSH		1			0
4-HNE		1			0
hCGα glycoforms		1			0
hCGβ glycoforms		1			0
aberrant glycosylated IgA1		1			0
N-glycosylated carbohydrate portion of 6 kDa		1			0
K13		1			0
mucin tandem repeat (TR) peptide		1			0
alpha-N-acetylgalactosamine-bearing glycans		1			0
Galbeta1-3GalNAc (core 1)		1			0
mono- and di-sialylated core 1		1			0
sialyl Tn (STn)		1			0
sialyl Lewis A (CA19-9)		1			0
sialyl Lewis C (SLeC)		1			0
sialyl LeX (SLeX)		1			0
Hyperglycosylated hCG (H-hCG)		1			0
sialyl-3T antigen		1			0
sialic acid-containing carbohydrates		1			0
glycophosphatidylinositol		1			0
sialylpolylactosamine		1			0
sialyl Le(x)/Le(a)		1			0
T antigens	T antigen	1	G00031MO	gsd_strict	2
core 1 (T)		1			0
salivary protein glycosylation		1			0
N-linked carbohydrate structure		1			0
fucosylated haptoglobin (Fuc-Hpt)		1			0
core fucosylated neutral glycans		1			0
N-linked mannose-5 glycans		1			0
xylose-containing plant complex N-linked glycans		1			0
galactal		1			0
2-nitroglycal		1			0
Tn (GalNAcalpha1-O-Ser/Thr)		1			0
Fucosylated N-glycans		1			0
Acetylgalactosamine		1			0
glycan part of serum prostate specific antigen (PSA)		1			0
di-sialylated glycans (sialic acid attached to sialic acid)		1			0
branched fucosylated galactose with N-acetylglucosamine moieties (HexNAc-(Fuc)Gal-GlcNAc)		1			0
NG1(3)A2F		1			0
PSA		1			0
HNK1		1			0
α2,3-linked sialyl N-glycan		1			0
N-linked intact glycopeptides		1			0
Tn (GalNAc-O-Ser/Thr)		1			0
LCA-binding fraction		1			0
sialyl-Tn antigens	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
core 3 structure (GlcNAcβ1-3GalNAcα1-O-Ser/Thr)		1			0
sLea	Sialyl Lewis a	1	G00053MO	gsd_strict	2
precursors of lipoxidation end products		1			0
alpha-galactosylsphingosine		1			0
Mucins		1			0
HexNAc2Hex5		1			0
HexNAc4Hex5Fuc1NeuAc1		1			0
HexNAc4Hex5Fuc1NeuAc2		1			0
N-Acetylgalactosamine (GalNAc)		1			0
Carbohydrate-deficient transferrin (CDT)		1			0
AChE glycosylation pattern		1			0
O-glycan T antigen		1			0
core-2		1			0
Asn332 glycan-dependent epitope		1			0
Asn392		1			0
Asn386		1			0
NaSO3-3GlcA(beta 1-->3)Gal(beta 1-->4)GlcNAc(beta 1-->3)Gal(beta 1-->4)Glc beta-OPr		1			0
oncofetal antigens		1			0
terminal galactose/N-acetylgalactosamine (Gal/GalNAc)		1			0
underglycosylated mucin-1 antigen (uMUC-1)		1			0
diantennary glycan		1			0
Sialyl Lewisx (SLeX)		1			0
α-1,6-fucosylation		1			0
Thomsen-Friedenreich antigen (TF-antigen)	T antigen	1	G00031MO	gsd_strict	2
β64N glycoforms		1			0
core2 O-glycan	Core 2	1	G00033MO	gsd_strict	2
core3 O-glycan		1			0
differential glycosylation patterns		1			0
sialoglycans CDw75 and HB-6		1			0
N-linked glycan residue		1			0
core-fucosylation of neutral glycans		1			0
core-fucosylation of sialylated glycans		1			0
core-1 mucin-type O-glycans		1			0
glycan variant		1			0
N-glycosylated subunits		1			0
N-linked GlcNAc		1			0
triantennary glycan-containing outer arm (alpha-1,3) fucosylation		1			0
core (alpha-1,6) fucosylation		1			0
high-mannose type (Man(4) to Man(9))		1			0
triantennary complex type		1			0
disialylated diantennary glycans		1			0
O-glycosylated tandem repeat domain of MUC1		1			0
sialylated oligosaccharide chains		1			0
fatty acid unsaturation		1			0
hyperglycosylated human chorionic gonadotrophin (hCG-H)		1			0
N- and O-linked glycoproteins		1			0
N-acetyl-d-lactosamine		1			0
albumin glycation		1			0
complex O-glycan branching		1			0
β4-galactosylation of highly branched N-glycans		1			0
core fucosylated, bisecting and sialylated modifications		1			0
Peak7		1			0
N-acetyllactosamine-containing glycans		1			0
high-mannose-type		1			0
glycosylated NELL1		1			0
glucosylated free oligosaccharides		1			0
glycosylation products		1			0
glycosylated IgG		1			0
sialyl-trimeric-Lewis x		1			0
advanced glycation end product		1			0
AGE-damaged enzymes		1			0
sugars	Glycans	1		gsd_strict	2
high mannose immature glycoprotein		1			0
sparsely-glycosylated MUC1		1			0
heavily-glycosylated MUC1		1			0
alpha-N-acetylgalactosamine	Tn antigen	1	G57321FI	gsd_loose	2
glycan synthesis		1			0
high-mannose type		1			0
core-fucosylated tetraantennary structures		1			0
LacdiNAc motif		1			0
under-galactosylated IgA1		1			0
neutral and sialylated glycans		1			0
mAb glycan profile		1			0
haptoglobin		1			0
transferrin		1			0
N-linked glycosites		1			0
O-linked β-N-acetylglucoside (O-GlcNAc)		1			0
altered glycosylation		1			0
FA2/[FA2G1 + FA2G2]-IgG1		1			0
m/z 1955		1			0
m/z 2032		1			0
m/z 2584		1			0
α-2,6 sialylated galactosides		1			0
N-linked oligosaccharide side chains		1			0
high-mannose immature CEA		1			0
Con-A band 2 (AFP-C2)		1			0
LCA-A band 1 (AFP-L1)		1			0
E-PHA band 2 (AFP-P2)		1			0
glycosylation signatures		1			0
Galbeta1-3GalNAcalpha		1			0
S-(β-D-glucopyranosyl)-D-cysteine		1			0
S-(2-acetamido-2-deoxy-α-D-galactopyranosyl)-L-cysteine		1			0
fucose (Fuc)		1			0
sialyl Lewis X (sLe(X))	Sialyl Lewis x	1	G00054MO	gsd_strict	2
α-2,6-linked sialic acids		1			0
alpha-L-Fuc residues		1			0
alpha-Man, GlcNAc(beta1,4,GlcNAc)1,2, GalNAc alpha1,3GalNAc, alpha-GalNAc, and a-Gal residues		1			0
Gly-Trp-Ser-Tyr-Gly		1			0
2,6-branched mannose		1			0
oligosaccharide	Glycans	1		gsd_strict	2
alpha-Fetoproteins		1			0
high mannose oligosaccharide structures		1			0
sialyl LacNAc		1			0
defucosylated N-glycan		1			0
terminal galactose residues		1			0
poly-N-acetyllactosaminyl O-glycans		1			0
α1-3 fucosylated glycoforms		1			0
Lewis X-carrying N-glycans		1			0
O-sialoglycoproteins		1			0
sialyl Lea		1			0
Sialyl Tn		1			0
H-type-1 antigen (Fucalpha1-2Galbeta1-3GlcNAcbeta1-)		1			0
NeuNAcalpha2-3Galbeta1-		1			0
highly glycosylated antigen		1			0
core and antenna fucosylation		1			0
total glycosylation		1			0
HMFG1		1			0
214D4		1			0
oligosaccharide moiety		1			0
glycosylated VDBP		1			0
PNA-reactive sites		1			0
glycan-related networks		1			0
3-O-SO3Na-beta-Gal-(1-->4)-beta-GlcNAc-(1-->3)-beta-Gal-(1-->4)-GlcNAc-beta-OBn		1			0
3-O-SO3Na-beta-Gal-(1-->3)-beta-GlcNAc-(1-->3)-beta-Gal-(1-->3)-beta-GlcNAc-(1-->3)-beta-Gal-(1-->4)-Glc-beta-OBn		1			0
glycated serum proteins		1			0
glycosylated hemoglobin		1			0
α-2,6 sialylation		1			0
Galactose-alpha-1,3-galactose (alpha-Gal)		1			0
N-glycolylneuraminic acid (NeuGc)		1			0
β-galactopyranoside		1			0
α-linked sialic acid		1			0
innermost GlcNAc		1			0
N-terminal V3 loop glycan		1			0
N-glycan of CCP-2		1			0
N-glycans of CCP-4		1			0
GC mucins		1			0
α2-3-linked sialic acids		1			0
triantennary trigalactosylated glycans		1			0
tetraantennary tetrasialylated glycans		1			0
Lea/Leb glycans		1			0
shielding glycans		1			0
Tn/Sialyl-Tn-epitopes		1			0
2,6-linked sialylated N-glycans		1			0
agalactosylated structures		1			0
Sialyl Lewis(a)		1			0
α2,6sialylation		1			0
core-fucosylated residues		1			0
core-fucosylated structures		1			0
trianntenary structure		1			0
tri-antennary tri-sialylated mono-fucosylated glycan of alpha-1 antitrypsin		1			0
Lactosylceramide	Lactosylceramide	1	G84224TW	gsd_strict	2
sialyl-Tn (sialic acid alpha2,6GalNAc)		1			0
9-O-acetylation		1			0
6'-sulfo sialyl Lewis(x)		1			0
Forssman disaccharide (GalNAcα1-3GalNAcβ)		1			0
terminal alpha-GlcNAc		1			0
terminal beta-GlcNAc		1			0
T(N)		1			0
ST(N)		1			0
2,6-ST		1			0
N-deacetylsialyl Lewis X ganglioside		1			0
Sialyl Lewis X (sLex)		1			0
CD90		1			0
congenital defects of glycosylation		1			0
glycosylated plasma fetuin-A		1			0
glycan ratio m/z 2378/1914		1			0
sialylated oligosaccharides		1			0
N-acetylglucosaminylasparagine		1			0
C-mannosylation		1			0
glycosylated PAI-2		1			0
sialylated O-linked glycans (MUC1-ST)		1			0
high-mannose core structures of N-linked glycans		1			0
α1,6-fucose		1			0
NeuAcα2,3Galβ1,3GalNAc		1			0
glycophore		1			0
CA125 antigen		1			0
Lipid-linked oligosaccharide (LLO)		1			0
Glycated Serum Albumin		1			0
glycosylated pyridinoline (gPYD)		1			0
total deoxypyridinoline (tDPD)		1			0
free pyridinium crosslinks (fPYD)		1			0
free deoxypyridinoline (fDPD)		1			0
sulfa-Tn antigens		1			0
O-N-acetylglucosamine glycosylation		1			0
mucin core 2 tetrasaccharide		1			0
Globo		1			0
serum invasive trophoblast antigen (ITA)		1			0
HbA(1C)		1			0
α1,6-linked fucosylation		1			0
glycosylated prostate-specific antigen		1			0
beta1		1			0
beta6		1			0
beta7		1			0
mucin-type O-glycosylation		1			0
SG35		1			0
SG45		1			0
SG46		1			0
N-linked glycan chains		1			0
complex N-linked glycans with sialic acid chains		1			0
glycosylation-dependent epitope of the CD31 antigen		1			0
glycosylated alpha-fetoprotein		1			0
HNK-1 sulfated carbohydrate epitope		1			0
N- and O-glycosylation		1			0
sialylated O-linked sugar chains		1			0
MUC1 glycoform		1			0
truncated glycosylation		1			0
α1,3-mannosylation		1			0
CD34		1			0
monosialylated alpha-fetoprotein		1			0
asparagine-linked carbohydrate structures		1			0
O-linked oligosaccharides with the core-2 structure		1			0
high-mannose or hybrid structures		1			0
Siaα2,6Galβ1,4GlcNAc (Sia6LacNAc)		1			0
core 2-type O-glycans		1			0
fucose-α(1-2)-galactose		1			0
α-galactose adjuvant motif		1			0
anthocyanins		1			0
sialoglycoprotein gp114		1			0
basolateral p58		1			0
highly sialylated O- and N-linked complex carbohydrates		1			0
sulfated glycan (Galβ1-3[SO3-GlcNAcβ1-6]GalNAc)		1			0
fucosylated glycan (GlcNAcβ1-3(Fucα1-2Galβ1-3)GalNAc)		1			0
core 4 glycan (GlcNAcβ1-3[GlcNAcβ1-6]GalNAc)		1			0
sialylated/agalactosylated ratio		1			0
Nε-fructosyl-lysine		1			0
Nε-carboxymethyl-lysine		1			0
Nε-carboxyethyl-lysine		1			0
oligomannose and hybrid type glycans		1			0
sulfated and α2-3- linked sialic acid glycoconjugates		1			0
high-mannose and complex-type N-glycans		1			0
N-glycans of MUC2		1			0
N-glycan sialylation		1			0
tri-galactosylated (G3)		1			0
antenary fucosylated (FUC_A)		1			0
low branching (LB)		1			0
non-sialylated (S0)		1			0
monogalactosylation (G1)		1			0
core fucosylation (FUC_C)		1			0
biantennary galactosylation (A2G)		1			0
biantennary (BA)		1			0
